seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,1,73113,1152190,650511,0,1,0,1,1,1,0,42,10787,1082011,2166,83,1105001,9912,0,10787,0,0
2,1,73149,983500,552838,0,1,0,1,1,1,0,41,30196,8913,1958,83,61558,20367,0,30154,0,0
3,1,73146,1253195,551841,0,1,0,1,1,1,0,42,8871,2124,875,42,14286,2332,0,8871,0,0
4,1,73113,1156022,754740,0,1,0,1,1,1,0,41,2124,7914,708,42,11662,833,0,2124,0,0
5,1,73149,1020585,518523,0,1,0,1,1,1,0,42,16286,11578,1833,42,35736,5955,0,16244,0,0
6,0,117203,476349,1164004,0,0,1,1,0,1,0,0,7747,21867,874,42,32946,2416,0,7664,0,0
7,0,117203,443540,1239618,0,0,1,1,0,1,0,42,958,40109,250,42,41567,166,0,875,0,0
8,0,117203,443441,1215892,0,0,1,1,0,1,0,42,999,1041,124,42,2416,168,0,958,0,0
9,0,117203,438556,1226850,0,0,1,1,0,1,0,0,833,750,125,42,1874,124,0,791,0,0
10,0,117203,442648,1271323,0,0,1,1,0,1,0,0,1500,1042,83,84,3166,457,0,1500,0,0
11,0,117203,442654,1226837,0,0,1,1,0,1,0,0,1374,875,84,42,2707,332,0,1333,0,0
12,0,117203,441205,1220757,0,0,1,1,0,1,0,41,833,750,125,0,1832,83,0,750,0,0
13,0,117203,441931,1165790,0,0,1,1,0,1,0,42,1333,708,83,0,2374,208,0,1291,0,0
14,0,117203,440972,1212993,0,0,1,1,0,1,0,0,708,791,125,41,1832,167,0,666,0,0
15,0,117203,441206,1299168,0,0,1,1,0,1,0,42,1458,1042,84,41,2873,206,0,1416,0,0
16,0,117203,438837,1291342,0,0,1,1,0,1,0,0,1500,1041,83,42,2832,166,0,1458,0,0
17,0,117203,440974,1253516,0,0,1,1,0,1,0,0,833,583,83,42,1749,208,0,833,0,0
18,0,117203,438734,1282861,0,0,1,1,0,1,0,0,792,708,83,42,1833,208,0,792,0,0
19,0,117203,438730,1277115,0,0,1,1,0,1,0,42,583,624,84,41,1541,167,0,542,0,0
20,0,117203,294433,1215191,0,0,1,1,0,1,0,41,625,708,84,41,1582,83,0,541,0,0
