seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,117355,775493,1246004,0,0,1,1,0,1,0,42,9788,12704,999,125,24993,1335,0,9706,0,0
2,0,117355,596170,1298914,0,0,1,1,0,1,0,42,1167,1458,125,0,3208,416,0,1125,0,0
3,0,117355,775503,1204006,0,0,1,1,0,1,0,0,4874,1083,83,0,6414,374,0,4832,0,0
4,0,117355,775504,1165186,0,0,1,1,0,1,0,0,1250,833,125,41,2541,292,0,1166,0,0
5,0,117355,775521,1287440,0,0,1,1,0,1,0,42,1500,1166,84,42,3207,373,0,1458,0,0
6,0,117355,775523,1284223,0,0,1,1,0,1,0,0,1166,1041,83,42,2708,376,0,1166,0,0
7,0,117355,775202,1194010,0,0,1,1,0,1,0,41,1291,1124,83,0,2916,377,0,1250,0,0
8,0,117355,775220,1214397,0,0,1,1,0,1,0,0,541,750,83,42,1708,292,0,500,0,0
9,0,117355,579699,1164624,0,0,1,1,0,1,0,42,1208,1249,83,42,2916,292,0,1166,0,0
10,0,117355,539975,1181687,0,0,1,1,0,1,0,42,1041,1333,84,42,2832,290,0,999,0,0
11,0,117355,577521,1207782,0,0,1,1,0,1,0,41,1208,6956,125,42,8706,334,0,1208,0,0
12,0,117355,577417,1170446,0,0,1,1,0,1,0,41,1208,1042,125,42,2791,333,0,1166,0,0
13,0,117355,775497,1199813,0,0,1,1,0,1,0,0,1208,999,83,42,2666,334,0,1166,0,0
14,0,117355,577378,1206944,0,0,1,1,0,1,0,0,1250,1083,125,41,2791,292,0,1166,0,0
15,0,117355,539970,1272718,0,0,1,1,0,1,0,0,1166,1041,84,42,2666,333,0,1166,0,0
16,0,117355,575099,1265040,0,0,1,1,0,1,0,42,1250,1083,84,42,2749,248,0,1166,0,0
17,0,117355,573347,1291897,0,0,1,1,0,1,0,41,1208,1166,83,41,2832,293,0,1166,0,0
18,0,117355,573332,1264504,0,0,1,1,0,1,0,42,1291,1083,83,42,2833,292,0,1208,0,0
19,0,117355,573081,1236777,0,0,1,1,0,1,0,0,1083,1083,83,42,2666,375,0,1000,0,0
20,0,117355,542036,1182268,0,0,1,1,0,1,0,42,1208,1167,84,42,2833,290,0,1167,0,0
21,0,117355,577986,1144094,0,0,1,1,0,1,0,42,1042,1000,83,41,2540,332,0,1000,0,0
22,0,117355,777113,1148781,0,0,1,1,0,1,0,0,1167,1166,83,41,2790,333,0,1125,0,0
23,0,117355,775326,1088137,0,0,1,1,0,1,0,42,1250,1083,125,83,2790,207,0,1208,0,0
24,0,117355,775328,1204657,0,0,1,1,0,1,0,42,1208,1125,83,41,2790,291,0,1166,0,0
25,0,117355,775333,1148579,0,0,1,1,0,1,0,0,1124,958,84,42,2624,416,0,1124,0,0
26,0,117355,775346,1229772,0,0,1,1,0,1,0,41,1041,1250,83,41,2749,293,0,1000,0,0
27,0,117355,775349,1198434,0,0,1,1,0,1,0,42,1083,1124,125,42,2625,209,0,1000,0,0
28,0,117355,775369,1153103,0,0,1,1,0,1,0,42,1166,1124,83,41,2749,293,0,1083,0,0
29,0,117355,777103,1277293,0,0,1,1,0,1,0,0,1166,1333,125,42,2999,333,0,1083,0,0
30,0,117355,472453,1243006,0,0,1,1,0,1,0,42,1166,1333,84,41,2958,292,0,1125,0,0
31,0,117355,731684,1213077,0,0,1,1,0,1,0,0,1208,4499,125,42,6165,291,0,1166,0,0
32,0,117355,775378,1191136,0,0,1,1,0,1,0,0,1208,1124,83,42,2833,376,0,1166,0,0
33,0,117355,779586,1150982,0,0,1,1,0,1,0,42,1291,1249,83,41,2999,293,0,1208,0,0
34,0,117355,684142,1299049,0,0,1,1,0,1,0,41,1250,1166,125,41,2874,251,0,1166,0,0
35,0,117355,617224,1181658,0,0,1,1,0,1,0,41,1208,1250,83,42,2916,292,0,1166,0,0
36,0,117355,616504,1204606,0,0,1,1,0,1,0,42,1041,1041,83,0,2500,293,0,958,0,0
37,0,117355,756465,1264252,0,0,1,1,0,1,0,0,1208,1833,125,41,3582,375,0,1167,0,0
38,0,117355,626281,1245277,0,0,1,1,0,1,0,0,15537,1208,84,41,17245,375,0,15495,0,0
39,0,117355,626279,1299730,0,0,1,1,0,1,0,0,13329,1041,125,42,14870,333,0,13287,0,0
40,0,117355,626266,1244030,0,0,1,1,0,1,0,42,8372,1083,83,42,9913,291,0,8289,0,0
41,0,117355,626265,1210729,0,0,1,1,0,1,0,41,6914,542,83,0,7831,251,0,6914,0,0
42,0,117355,708530,1205193,0,0,1,1,0,1,0,42,8414,1167,84,42,10039,290,0,8331,0,0
43,0,117355,548262,1205734,0,0,1,1,0,1,0,42,8373,1125,83,0,9997,374,0,8373,0,0
44,0,117355,552011,1271675,0,0,1,1,0,1,0,41,1042,1249,83,42,2707,250,0,958,0,0
45,0,117355,546299,1181499,0,0,1,1,0,1,0,42,1208,1125,83,41,2791,292,0,1167,0,0
46,0,117355,631903,1289759,0,0,1,1,0,1,0,0,1249,1125,84,42,2874,374,0,1249,0,0
47,0,117355,713393,1262430,0,0,1,1,0,1,0,0,1250,1208,84,42,2916,332,0,1166,0,0
48,0,117355,570988,1227295,0,0,1,1,0,1,0,42,4499,1124,83,42,6124,334,0,4499,0,0
49,0,117355,548261,1237416,0,0,1,1,0,1,0,41,1250,1125,84,42,2791,249,0,1166,0,0
50,0,117355,633269,1234789,0,0,1,1,0,1,0,0,1208,1208,83,41,2957,417,0,1124,0,0
51,0,117355,546226,1236588,0,0,1,1,0,1,0,0,1042,1292,125,42,2874,373,0,1042,0,0
52,0,117355,506697,1277158,0,0,1,1,0,1,0,0,1208,1250,125,42,2958,333,0,1167,0,0
53,0,117355,737165,1294620,0,0,1,1,0,1,0,42,1208,1042,84,41,2707,290,0,1166,0,0
54,0,117355,737612,1213342,0,0,1,1,0,1,0,0,1167,1083,125,42,2708,291,0,1167,0,0
55,0,117355,731399,1269754,0,0,1,1,0,1,0,42,1166,958,83,42,2583,292,0,1083,0,0
56,0,117355,733246,1227345,0,0,1,1,0,1,0,42,999,1250,83,41,2707,292,0,958,0,0
57,0,117355,725594,1284855,0,0,1,1,0,1,0,41,1250,1291,83,0,2957,292,0,1166,0,0
58,0,117355,726558,1290244,0,0,1,1,0,1,0,41,1250,1208,84,42,2916,291,0,1208,0,0
59,0,117355,729467,1284922,0,0,1,1,0,1,0,0,1208,1291,84,42,2916,291,0,1167,0,0
60,0,117355,723597,1212411,0,0,1,1,0,1,0,42,1249,1250,750,41,3873,541,0,1167,0,0
61,0,117355,714412,1285431,0,0,1,1,0,1,0,42,1124,1250,166,42,2875,251,0,1083,0,0
62,0,117355,709660,1077009,0,0,1,1,0,1,0,0,1041,1333,83,42,2832,333,0,999,0,0
63,0,117355,706858,1182349,0,0,1,1,0,1,0,42,1125,1041,83,42,2625,292,0,1083,0,0
64,0,117355,708007,1139179,0,0,1,1,0,1,0,0,1208,1125,84,42,2791,332,0,1167,0,0
65,0,117355,570282,1286329,0,0,1,1,0,1,0,41,1416,1208,83,41,3082,293,0,1333,0,0
66,0,117355,708501,1140139,0,0,1,1,0,1,0,41,1167,1167,125,41,2791,250,0,1083,0,0
67,0,117355,775380,1224494,0,0,1,1,0,1,0,42,1083,999,83,42,2541,292,0,1041,0,0
68,0,117355,492917,1286215,0,0,1,1,0,1,0,0,750,4832,124,0,5998,292,0,708,0,0
69,0,117355,537614,1198745,0,0,1,1,0,1,0,41,1208,1249,83,42,2916,293,0,1166,0,0
70,0,117355,777075,1204940,0,0,1,1,0,1,0,42,1083,1083,83,42,2666,333,0,1042,0,0
71,0,117355,555986,1088485,0,0,1,1,0,1,0,0,625,749,83,42,1749,250,0,541,0,0
72,0,117355,567939,1201367,0,0,1,1,0,1,0,42,625,708,84,42,1666,165,0,541,0,0
73,0,117355,575466,1246708,0,0,1,1,0,1,0,42,1166,1125,125,42,2707,207,0,1124,0,0
74,0,117355,745401,1272490,0,0,1,1,0,1,0,42,1083,1083,83,41,2582,250,0,999,0,0
75,0,117355,638071,1299614,0,0,1,1,0,1,0,41,1083,1083,125,42,2707,333,0,1000,0,0
76,0,117355,700547,1213064,0,0,1,1,0,1,0,42,1208,1208,125,41,2874,250,0,1166,0,0
77,0,117355,574092,1246288,0,0,1,1,0,1,0,42,1207,1000,84,42,2707,332,0,1207,0,0
78,0,117355,574082,1233450,0,0,1,1,0,1,0,42,1291,999,83,0,2749,334,0,1249,0,0
79,0,117355,563281,1216135,0,0,1,1,0,1,0,42,1208,1292,125,41,2957,249,0,1167,0,0
80,0,117355,554165,1244607,0,0,1,1,0,1,0,0,1166,1041,84,42,2707,374,0,1125,0,0
