seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,1,73091,1166652,786078,0,1,0,1,1,1,0,0,3165,2249,624,41,8745,2666,0,3123,0,0
2,1,73091,1140286,548281,0,1,0,1,1,1,0,42,291,6289,125,41,7079,291,0,209,0,0
3,1,73091,1283695,586426,0,1,0,1,1,1,0,0,666,5789,83,42,7038,458,0,666,0,0
4,1,73113,1211662,418420,0,1,0,1,1,1,0,0,1791,6163,625,42,9495,874,0,1791,0,0
5,1,73113,1226837,498169,0,1,0,1,1,1,0,0,791,1125,292,42,2749,499,0,791,0,0
6,1,73149,1271323,570215,0,1,0,1,1,1,0,42,4747,314579,1666,42,328281,7205,0,4747,0,0
7,1,73091,1226850,598109,0,1,0,1,1,1,0,0,2582,8620,500,42,14367,2623,0,2582,0,0
8,1,72972,1239484,493682,0,1,0,1,1,1,0,42,6038,108026,833,0,117021,2082,0,6038,0,0
9,1,72972,1162477,493683,0,1,0,1,1,1,0,0,2249,603305,1250,41,608885,2040,0,2249,0,0
10,1,72972,1189976,493684,0,1,0,1,1,1,0,42,958,4830,458,0,6997,709,0,958,0,0
11,1,72972,1242348,493685,0,1,0,1,1,1,0,42,583,35398,624,84,37230,499,0,542,0,0
12,1,72972,1204053,493686,0,1,0,1,1,1,0,0,2665,7121,1124,125,14242,3207,0,2582,0,0
13,1,72972,1246508,493687,0,1,0,1,1,1,0,0,19198,1749,541,125,22571,958,0,19156,0,0
14,1,72972,1211075,493688,0,1,0,1,1,1,0,0,874,31441,583,41,33649,710,0,833,0,0
15,1,72972,1153707,493689,0,1,0,1,1,1,0,0,292,60509,208,41,61509,459,0,292,0,0
16,1,72972,1164918,493690,0,1,0,1,1,1,0,0,292,9370,125,42,10120,291,0,292,0,0
17,1,72972,1191193,493691,0,1,0,1,1,1,0,0,166,27111,625,41,28443,500,0,125,0,0
18,1,72972,1191098,493692,0,1,0,1,1,1,0,41,1332,4914,334,41,7371,709,0,1291,0,0
19,1,72972,1155253,493693,0,1,0,1,1,1,0,0,250,22821,541,42,24154,500,0,208,0,0
20,1,72972,1249518,493694,0,1,0,1,1,1,0,42,2041,22655,917,166,34232,8411,0,1999,0,0
21,1,72972,1203697,493695,0,1,0,1,1,1,0,42,917,11202,250,42,12993,540,0,833,0,0
22,1,72972,1265800,494048,0,1,0,1,1,1,0,42,791,428939,916,125,431563,750,0,750,0,0
23,1,72972,1295607,494049,0,1,0,1,1,1,0,0,416,5539,125,42,6372,250,0,334,0,0
24,1,72972,1279769,494050,0,1,0,1,1,1,0,42,166,1041,83,0,1583,251,0,166,0,0
25,1,72972,1253074,494051,0,1,0,1,1,1,0,42,167,4206,416,42,5081,208,0,83,0,0
26,1,72972,1254510,494052,0,1,0,1,1,1,0,0,208,3457,416,0,4498,417,0,166,0,0
27,1,72972,1286416,494053,0,1,0,1,1,1,0,41,291,3582,375,42,4664,333,0,209,0,0
28,1,72972,1159814,494054,0,1,0,1,1,1,0,0,208,4248,417,42,5289,374,0,208,0,0
29,1,72972,1169581,494055,0,1,0,1,1,1,0,0,167,5289,83,0,5789,250,0,167,0,0
30,1,72972,1266722,494056,0,1,0,1,1,1,0,42,167,9828,125,42,10453,249,0,167,0,0
31,1,72972,1261667,494057,0,1,0,1,1,1,0,42,167,10286,83,42,10786,166,0,125,0,0
32,1,72972,1147681,494058,0,1,0,1,1,1,0,41,125,3457,417,41,4414,333,0,125,0,0
33,1,72972,1246168,494059,0,1,0,1,1,1,0,0,166,4290,83,0,4790,251,0,125,0,0
34,1,72972,1205902,494060,0,1,0,1,1,1,0,41,125,4831,84,41,5288,166,0,125,0,0
35,1,72972,1193506,494061,0,1,0,1,1,1,0,41,167,13077,41,0,13576,250,0,125,0,0
36,1,72972,1270794,494062,0,1,0,1,1,1,0,0,167,958,167,41,1457,124,0,83,0,0
37,1,72972,1148795,494063,0,1,0,1,1,1,0,0,541,5705,250,83,7079,500,0,500,0,0
38,1,72972,1182511,494208,0,1,0,1,1,1,0,0,250,5372,125,42,5955,166,0,166,0,0
39,1,72972,1188419,494209,0,1,0,1,1,1,0,42,166,346441,1790,0,348899,460,0,166,0,0
40,1,72972,1206218,494210,0,1,0,1,1,1,0,0,375,19989,250,42,21197,541,0,333,0,0
41,1,72942,1144029,580825,0,1,0,1,1,1,0,0,6788,1007465,1832,42,1023874,7747,0,6746,0,0
42,1,77266,1240888,589524,0,1,0,1,1,1,0,0,3707,7788,791,41,19031,6704,0,3623,0,0
43,1,77266,1281517,589523,0,1,0,1,1,1,0,42,3331,7704,1540,42,15783,3124,0,3249,0,0
44,1,73149,1147521,576637,0,1,0,1,1,1,0,42,16033,454721,1666,42,475794,3290,0,15991,0,0
45,0,117061,595107,1295062,0,0,1,1,0,1,0,83,13618,21405,1041,208,37314,959,0,13576,0,0
46,0,117061,595934,1261554,0,0,1,1,0,1,0,0,1707,1124,292,41,3498,334,0,1707,0,0
47,0,117061,593862,1148883,0,0,1,1,0,1,0,41,958,1499,458,41,3248,251,0,916,0,0
48,0,117061,593782,1163743,0,0,1,1,0,1,0,41,542,917,83,0,1790,207,0,500,0,0
49,0,117061,593099,1157287,0,0,1,1,0,1,0,0,1083,1000,83,0,2665,499,0,1041,0,0
50,0,117061,592787,1152308,0,0,1,1,0,1,0,0,1124,1416,458,42,3290,250,0,1083,0,0
51,0,117061,592082,1224146,0,0,1,1,0,1,0,42,1041,1041,83,0,2457,250,0,957,0,0
52,0,117061,592066,1275501,0,0,1,1,0,1,0,41,999,958,84,42,2374,250,0,999,0,0
53,0,117061,592055,1203937,0,0,1,1,0,1,0,42,583,791,84,0,1666,166,0,500,0,0
54,0,117061,591443,1152550,0,0,1,1,0,1,0,41,1166,1166,458,41,3123,251,0,999,0,0
55,0,117061,590919,1195787,0,0,1,1,0,1,0,0,1125,1041,84,41,2582,291,0,1125,0,0
56,0,117061,590598,1152160,0,0,1,1,0,1,0,42,916,1707,459,41,3456,291,0,874,0,0
57,0,117061,589908,1241330,0,0,1,1,0,1,0,42,1624,999,250,41,3206,250,0,1624,0,0
58,0,117061,589945,1224050,0,0,1,1,0,1,0,41,2957,1250,83,0,4581,250,0,2916,0,0
59,0,117061,590310,1231331,0,0,1,1,0,1,0,42,1083,958,83,42,2457,249,0,1041,0,0
60,0,117061,589439,1158475,0,0,1,1,0,1,0,0,1167,1291,84,0,2832,290,0,1125,0,0
61,0,117061,415785,1287902,0,0,1,1,0,1,0,0,7038,6538,583,42,14868,667,0,7038,0,0
62,0,117061,589085,1206198,0,0,1,1,0,1,0,42,1041,1999,458,41,4039,458,0,1041,0,0
63,0,117061,416318,1216896,0,0,1,1,0,1,0,0,583,916,83,42,1916,292,0,583,0,0
64,0,117061,588634,1214025,0,0,1,1,0,1,0,42,999,1083,83,42,2458,209,0,958,0,0
65,0,117061,423001,1237869,0,0,1,1,0,1,0,0,999,3415,417,41,5247,375,0,999,0,0
66,0,117061,585931,1155714,0,0,1,1,0,1,0,41,1041,875,84,42,2332,249,0,999,0,0
67,0,117061,587530,1226838,0,0,1,1,0,1,0,0,1291,1541,84,41,3206,249,0,1249,0,0
68,0,117061,587746,1238672,0,0,1,1,0,1,0,42,1000,1249,1416,42,3998,249,0,916,0,0
69,0,117061,585822,1218038,0,0,1,1,0,1,0,42,2457,1125,83,41,3998,250,0,2416,0,0
70,0,117061,587057,1214487,0,0,1,1,0,1,0,0,1124,1333,84,41,2831,249,0,1083,0,0
71,0,117061,587060,1231409,0,0,1,1,0,1,0,42,1083,999,417,0,2874,333,0,999,0,0
72,0,117061,586449,1281652,0,0,1,1,0,1,0,0,1124,1083,83,0,2707,417,0,1083,0,0
73,0,117061,585727,1285680,0,0,1,1,0,1,0,0,1041,1124,583,84,3290,458,0,1041,0,0
74,0,117061,537430,1143685,0,0,1,1,0,1,0,42,1124,4498,417,41,6371,249,0,1083,0,0
75,0,117061,584822,1271779,0,0,1,1,0,1,0,0,1416,1291,125,0,3165,333,0,1374,0,0
76,0,117061,537936,1296296,0,0,1,1,0,1,0,41,1000,4914,416,0,6747,376,0,958,0,0
77,0,117061,584135,1224675,0,0,1,1,0,1,0,42,1374,5248,417,41,7371,249,0,1291,0,0
78,0,117061,583630,1250745,0,0,1,1,0,1,0,0,1041,957,84,0,2416,334,0,1041,0,0
79,0,117061,537798,1216416,0,0,1,1,0,1,0,0,1125,1125,41,42,2624,291,0,1125,0,0
80,0,117061,537783,1297262,0,0,1,1,0,1,0,0,999,1000,83,0,2457,375,0,999,0,0
81,0,117061,540099,1139430,0,0,1,1,0,1,0,42,1624,49099,1249,0,52931,917,0,1582,0,0
82,0,117061,540062,1205694,0,0,1,1,0,1,0,0,93285,6871,1250,208,103780,2166,0,93285,0,0
83,0,117061,579784,1277656,0,0,1,1,0,1,0,42,1665,3415,1332,83,7454,917,0,1583,0,0
84,0,117061,581837,1239607,0,0,1,1,0,1,0,0,1500,2666,625,83,5705,831,0,1416,0,0
85,0,117061,778875,1267784,0,0,1,1,0,1,0,0,1458,6704,625,250,9787,750,0,1374,0,0
86,0,117061,778879,1153608,0,0,1,1,0,1,0,0,1457,1416,874,84,4372,541,0,1416,0,0
87,0,117061,778882,1247372,0,0,1,1,0,1,0,42,1416,1541,166,83,3623,375,0,1333,0,0
88,0,117061,778896,1187196,0,0,1,1,0,1,0,0,1541,2541,1249,42,5997,624,0,1416,0,0
89,0,117061,778900,1250782,0,0,1,1,0,1,0,0,1416,1416,167,42,3582,541,0,1332,0,0
90,0,117061,778905,1184596,0,0,1,1,0,1,0,0,2249,1791,458,42,5081,541,0,2207,0,0
91,0,117061,778910,1244286,0,0,1,1,0,1,0,167,1583,2040,1332,83,5913,708,0,1583,0,0
92,0,117061,778951,1141524,0,0,1,1,0,1,0,0,2873,1749,375,41,5622,584,0,2790,0,0
93,0,117061,778961,1277270,0,0,1,1,0,1,0,42,1582,2457,583,41,5247,542,0,1541,0,0
94,0,117061,778965,1159716,0,0,1,1,0,1,0,41,2040,2374,1374,84,6705,792,0,1999,0,0
95,0,117061,778974,1237801,0,0,1,1,0,1,0,42,875,2124,1291,83,4997,582,0,875,0,0
96,0,117061,778994,1176791,0,0,1,1,0,1,0,83,3248,2582,291,42,6871,625,0,3248,0,0
97,0,117061,778999,1209124,0,0,1,1,0,1,0,42,1582,958,125,0,2957,250,0,1500,0,0
98,0,117061,779018,1269440,0,0,1,1,0,1,0,41,1208,1499,458,42,3540,292,0,1124,0,0
99,0,117061,779020,1240039,0,0,1,1,0,1,0,0,1083,1083,83,42,2624,333,0,1083,0,0
100,0,117061,779026,1270851,0,0,1,1,0,1,0,41,1083,1208,83,0,2665,250,0,1000,0,0
101,0,117061,779067,1285975,0,0,1,1,0,1,0,0,1083,1707,417,41,3581,333,0,1041,0,0
102,0,117061,779070,1264599,0,0,1,1,0,1,0,0,1707,874,125,42,3040,292,0,1707,0,0
103,0,117061,779083,1285107,0,0,1,1,0,1,0,42,583,833,83,0,1708,167,0,499,0,0
104,0,117061,779103,1193371,0,0,1,1,0,1,0,0,9870,999,208,42,11411,292,0,9870,0,0
105,0,117061,779131,1225663,0,0,1,1,0,1,0,0,1582,1458,291,42,3623,250,0,1582,0,0
106,0,117061,779146,1265332,0,0,1,1,0,1,0,0,1082,1333,83,42,2832,292,0,1082,0,0
107,0,117061,779149,1248042,0,0,1,1,0,1,0,42,2041,542,83,0,2916,208,0,1999,0,0
108,0,117061,779157,1208007,0,0,1,1,0,1,0,42,3124,1083,41,41,4622,291,0,3082,0,0
109,0,117061,779195,1157052,0,0,1,1,0,1,0,42,583,833,83,0,1708,167,0,542,0,0
110,0,117061,779218,1137561,0,0,1,1,0,1,0,41,7580,750,667,41,9203,124,0,7538,0,0
111,0,117061,779223,1282786,0,0,1,1,0,1,0,41,458,583,125,41,1332,84,0,375,0,0
112,0,117061,779238,1153069,0,0,1,1,0,1,0,0,916,1041,291,42,2540,250,0,916,0,0
