seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,3,72942,783850,1255399,0,0,1,1,1,1,0,0,2541,112272,1500,41,118313,1959,0,2541,0,0
2,3,72942,727463,1216587,0,0,1,1,1,1,0,0,917,5874,125,42,7374,416,0,833,0,0
3,3,72942,776602,1296438,0,0,1,1,1,1,0,0,792,4749,499,42,6499,417,0,750,0,0
4,3,72942,760826,1148163,0,0,1,1,1,1,0,0,208,4595071,8416,125,4605403,1583,0,166,0,0
5,3,72942,747359,1187068,0,0,1,1,1,1,0,42,1583,7248,333,42,9915,667,0,1500,0,0
6,3,72942,782101,1160157,0,0,1,1,1,1,0,0,250,4832,125,41,5415,167,0,208,0,0
7,3,72942,760827,1232192,0,0,1,1,1,1,0,41,791,625,83,0,2041,501,0,791,0,0
8,3,72942,729287,1258811,0,0,1,1,1,1,0,42,958,1280860,3124,125,1287358,2249,0,875,0,0
9,3,72942,717123,1140090,0,0,1,1,1,1,0,0,3000,1141467,999,42,1146841,1333,0,2916,0,0
10,3,72942,783848,1207354,0,0,1,1,1,1,0,41,2333,2666,791,42,7790,1917,0,2250,0,0
11,3,72942,669729,1283796,0,0,1,1,1,1,0,41,917,822939,875,125,825939,1042,0,875,0,0
12,3,72942,715742,1261606,0,0,1,1,1,1,0,0,1249,1013489,1875,167,1017988,1208,0,1249,0,0
13,3,72942,678073,1237121,0,0,1,1,1,1,0,0,1500,7707,291,42,10207,667,0,1459,0,0
14,3,72942,715768,1292315,0,0,1,1,1,1,0,0,333,875,208,41,1791,334,0,291,0,0
15,3,72942,778362,1287928,0,0,1,1,1,1,0,42,500,16914,291,42,18414,625,0,500,0,0
16,3,72942,703903,1294838,0,0,1,1,1,1,0,42,416,1192000,2166,167,1196165,1374,0,334,0,0
17,3,72942,705121,1193149,0,0,1,1,1,1,0,83,1499,8416,291,42,11290,959,0,1458,0,0
18,3,72942,656956,1251156,0,0,1,1,1,1,0,42,958,19872,541,42,22080,625,0,916,0,0
19,3,72942,691086,1141218,0,0,1,1,1,1,0,0,208,1125,83,42,1666,208,0,208,0,0
20,3,72942,656957,1262398,0,0,1,1,1,1,0,42,125,292,83,0,750,208,0,125,0,0
21,3,72942,712468,1213418,0,0,1,1,1,1,0,0,750,1046233,667,41,1048566,875,0,750,0,0
22,3,72942,722235,1190703,0,0,1,1,1,1,0,42,2832,2791,708,41,8623,2209,0,2750,0,0
23,3,72942,663682,1177090,0,0,1,1,1,1,0,41,1166,5749,750,83,8540,751,0,1166,0,0
24,3,72942,663683,1292477,0,0,1,1,1,1,0,42,625,1042,292,42,2499,456,0,584,0,0
25,3,72942,770090,1147874,0,0,1,1,1,1,0,0,1125,647470,875,41,650344,833,0,1125,0,0
26,3,72942,743454,1208903,0,0,1,1,1,1,0,0,1124,1178752,1583,42,1182877,1376,0,1042,0,0
27,3,72942,777714,1212964,0,0,1,1,1,1,0,42,1625,10707,209,42,13498,873,0,1583,0,0
28,0,117961,642481,1225550,0,0,1,1,0,1,0,42,1541,1000,0,84,8582,5915,0,0,1,1458
29,0,117961,415356,1243054,0,0,1,1,0,1,0,0,1750,5666,0,83,8707,1208,0,0,1,1750
30,0,117961,400687,1265594,0,0,1,1,0,1,0,42,749,667,0,42,2208,708,0,0,1,667
31,0,117961,378660,1205259,0,0,1,1,0,1,0,41,666,875,0,42,2250,626,0,0,1,625
32,0,117961,332352,1189096,0,0,1,1,0,1,0,41,958,750,0,41,2416,626,0,0,1,916
33,0,117961,509340,1240115,0,0,1,1,0,1,0,42,959,834,0,42,2500,623,0,0,1,917
34,0,117961,489160,1253149,0,0,1,1,0,1,0,41,1667,4000,0,42,7040,1290,0,0,1,1583
35,0,117961,521985,1240782,0,0,1,1,0,1,0,41,1167,625,0,41,2624,750,0,0,1,1125
36,0,117961,479460,1289028,0,0,1,1,0,1,0,42,1042,708,0,42,2375,541,0,0,1,958
37,0,117961,489161,1225589,0,0,1,1,0,1,0,41,791,250,0,42,1792,668,0,0,1,750
38,0,117961,520814,1262839,0,0,1,1,0,1,0,0,1208,625,0,84,3583,1666,0,0,1,1125
39,0,117961,526624,1238818,0,0,1,1,0,1,0,0,1208,791,0,84,3750,1667,0,0,1,1208
40,0,117961,367691,1276957,0,0,1,1,0,1,0,42,584,875,0,0,2166,665,0,0,1,584
41,0,117961,367690,1262382,0,0,1,1,0,1,0,0,542,584,0,0,1791,665,0,0,1,458
42,0,117961,506987,1247833,0,0,1,1,0,1,0,41,958,917,0,42,2541,583,0,0,1,875
43,0,117961,506986,1290731,0,0,1,1,0,1,0,0,958,625,0,42,2250,625,0,0,1,875
44,0,117961,443387,1204372,0,0,1,1,0,1,0,41,750,750,0,41,2208,626,0,0,1,708
45,0,117961,443386,1141317,0,0,1,1,0,1,0,0,625,625,0,41,1916,625,0,0,1,625
46,0,117961,490573,1161684,0,0,1,1,0,1,0,42,916,875,0,42,3833,1958,0,0,1,833
47,0,117961,490572,1202908,0,0,1,1,0,1,0,42,541,750,0,42,1958,583,0,0,1,500
48,0,117961,380241,1247630,0,0,1,1,0,1,0,0,958,875,0,42,2499,624,0,0,1,958
49,0,117961,380240,1211699,0,0,1,1,0,1,0,42,1083,958,0,83,3833,1667,0,0,1,1000
50,0,117961,475451,1159562,0,0,1,1,0,1,0,42,1000,791,0,42,2666,791,0,0,1,958
51,0,117961,475450,1223325,0,0,1,1,0,1,0,41,1000,792,0,42,2458,583,0,0,1,917
52,0,117961,514801,1296329,0,0,1,1,0,1,0,0,791,750,0,42,2458,875,0,0,1,791
53,0,117961,514800,1170822,0,0,1,1,0,1,0,41,625,667,0,42,2041,666,0,0,1,583
54,0,117961,424965,1152038,0,0,1,1,0,1,0,42,958,833,0,42,2458,583,0,0,1,875
55,0,117961,424964,1234112,0,0,1,1,0,1,0,41,708,667,0,41,2124,667,0,0,1,667
56,0,117961,494315,1234789,0,0,1,1,0,1,0,0,958,791,0,42,2416,625,0,0,1,875
57,0,117961,494314,1198434,0,0,1,1,0,1,0,42,875,792,0,42,3333,1582,0,0,1,792
58,0,117961,511459,1245277,0,0,1,1,0,1,0,42,1041,750,0,83,3458,1542,0,0,1,1000
59,0,117961,511458,1284922,0,0,1,1,0,1,0,0,666,708,0,0,2042,668,0,0,1,666
60,0,117961,445649,1277333,0,0,1,1,0,1,0,42,958,708,0,42,2458,708,0,0,1,916
61,0,117961,445648,1258407,0,0,1,1,0,1,0,42,1041,666,0,42,2375,584,0,0,1,958
62,0,117961,451665,1211741,0,0,1,1,0,1,0,41,750,792,0,42,2250,625,0,0,1,667
63,0,117961,451664,1182578,0,0,1,1,0,1,0,0,667,500,0,41,1791,583,0,0,1,583
64,0,117961,488079,1280325,0,0,1,1,0,1,0,0,1000,958,0,42,2583,583,0,0,1,917
65,0,117961,488078,1147521,0,0,1,1,0,1,0,0,916,666,0,42,2208,584,0,0,1,833
66,0,117961,537721,1220761,0,0,1,1,0,1,0,41,2624,4958,0,83,82902,75196,0,0,1,2541
67,0,117961,537720,1284199,0,0,1,1,0,1,0,42,833,750,0,42,2500,833,0,0,1,792
68,0,117961,353421,1215061,0,0,1,1,0,1,0,0,1000,833,0,42,2541,666,0,0,1,958
69,0,117961,353420,1265064,0,0,1,1,0,1,0,42,708,749,0,0,2167,668,0,0,1,708
70,0,117961,458965,1209479,0,0,1,1,0,1,0,42,749,1042,0,42,2416,541,0,0,1,667
71,0,117961,458964,1289437,0,0,1,1,0,1,0,42,1000,666,0,41,2333,584,0,0,1,916
72,0,117961,425839,1272956,0,0,1,1,0,1,0,41,625,999,0,42,2291,584,0,0,1,541
73,0,117961,425838,1237416,0,0,1,1,0,1,0,42,1250,625,0,42,3582,1623,0,0,1,1208
74,0,117961,475617,1262582,0,0,1,1,0,1,0,42,2291,53699,0,83,57990,1875,0,0,1,2208
75,0,117961,475616,1242298,0,0,1,1,0,1,0,42,2541,875,0,42,5457,1957,0,0,1,2458
76,0,117961,356277,1184623,0,0,1,1,0,1,0,41,625,708,0,0,2041,667,0,0,1,541
77,0,117961,356276,1266262,0,0,1,1,0,1,0,0,708,875,0,42,2333,708,0,0,1,666
78,0,117961,503661,1228135,0,0,1,1,0,1,0,41,542,1083,0,0,2374,708,0,0,1,458
79,0,117961,503660,1267868,0,0,1,1,0,1,0,42,625,541,0,42,1833,583,0,0,1,625
80,0,117961,453615,1282701,0,0,1,1,0,1,0,0,541,917,0,42,2124,624,0,0,1,500
81,0,117961,453614,1193882,0,0,1,1,0,1,0,0,458,542,0,42,1667,625,0,0,1,375
82,0,117961,505485,1229793,0,0,1,1,0,1,0,42,667,917,0,42,2374,706,0,0,1,583
83,0,117961,505484,1273717,0,0,1,1,0,1,0,0,1000,667,0,41,3416,1708,0,0,1,958
84,0,117961,527289,1199700,0,0,1,1,0,1,0,41,583,959,0,0,2250,667,0,0,1,541
85,0,117961,527288,1164610,0,0,1,1,0,1,0,41,584,583,0,42,1875,625,0,0,1,542
86,0,117961,516297,1210427,0,0,1,1,0,1,0,41,1417,792,0,42,3957,1665,0,0,1,1375
87,0,117961,516296,1143264,0,0,1,1,0,1,0,42,958,583,0,41,3291,1667,0,0,1,958
88,0,117961,513065,1196087,0,0,1,1,0,1,0,42,1625,833,0,0,3166,666,0,0,1,1542
89,0,117961,513064,1227438,0,0,1,1,0,1,0,41,958,834,0,83,3541,1625,0,0,1,916
90,0,117961,473751,1308174,0,0,1,1,0,1,0,41,834,833,0,83,3374,1583,0,0,1,834
91,0,117961,473750,1139419,0,0,1,1,0,1,0,0,1249,625,0,41,3666,1751,0,0,1,1167
92,0,117961,505519,1222930,0,0,1,1,0,1,0,0,1208,958,0,83,4124,1875,0,0,1,1167
93,0,117961,505518,1199868,0,0,1,1,0,1,0,0,500,667,0,42,1833,624,0,0,1,500
94,0,117961,479663,1191685,0,0,1,1,0,1,0,42,708,1083,0,41,2499,625,0,0,1,667
95,0,117961,479662,1221578,0,0,1,1,0,1,0,41,834,542,0,0,2083,666,0,0,1,792
96,0,117961,431173,1241648,0,0,1,1,0,1,0,42,1500,875,0,41,3041,583,0,0,1,1417
97,0,117961,431172,1165748,0,0,1,1,0,1,0,0,708,875,0,0,2291,708,0,0,1,708
98,0,117961,531117,1234295,0,0,1,1,0,1,0,42,791,1666,0,42,3166,625,0,0,1,750
99,0,117961,531116,1283816,0,0,1,1,0,1,0,41,3541,666,0,41,6749,2460,0,0,1,3458
100,0,117961,438901,1289051,0,0,1,1,0,1,0,0,1209,792,0,41,3833,1791,0,0,1,1125
101,0,117961,438900,1276157,0,0,1,1,0,1,0,42,1250,750,0,84,3666,1540,0,0,1,1166
102,0,117961,475633,1163836,0,0,1,1,0,1,0,0,1000,667,0,42,2374,665,0,0,1,959
103,0,117961,475632,1249630,0,0,1,1,0,1,0,42,1375,875,0,42,4040,1706,0,0,1,1375
104,0,117961,437195,1215950,0,0,1,1,0,1,0,42,959,1000,0,41,2625,583,0,0,1,917
105,0,117961,437194,1239591,0,0,1,1,0,1,0,42,1000,708,0,0,2375,625,0,0,1,958
106,0,117961,480749,1169421,0,0,1,1,0,1,0,41,500,708,0,0,1916,667,0,0,1,458
107,0,117961,480748,1263056,0,0,1,1,0,1,0,0,1250,791,0,42,3833,1750,0,0,1,1166
108,0,117961,508653,1088729,0,0,1,1,0,1,0,0,875,792,0,41,2374,666,0,0,1,792
