seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,73113,1163269,505700,0,1,0,1,1,1,0,42,2083,6291,333,0,9582,833,0,2083,0,0
2,1,73146,1163529,500217,0,1,0,1,1,1,0,0,9956,5832,916,42,18247,1501,0,9914,0,0
3,1,73146,1177373,500120,0,1,0,1,1,1,0,0,625,3916,125,0,5082,416,0,625,0,0
4,1,73151,1201890,506071,0,1,0,1,1,1,0,41,9623,375352,1250,41,387724,1417,0,9623,0,0
5,1,73113,1236014,516999,0,1,0,1,1,1,0,0,2624,6207,541,42,10748,1334,0,2624,0,0
6,1,73113,1234208,519201,0,1,0,1,1,1,0,41,3500,21288,1083,42,28620,2666,0,3416,0,0
7,1,73113,1159248,497135,0,1,0,1,1,1,0,0,1625,7499,500,42,10415,749,0,1583,0,0
8,1,73113,1275477,526225,0,1,0,1,1,1,0,42,2041,8956,541,42,12290,668,0,1999,0,0
9,1,73213,1265618,507385,0,1,0,1,1,1,0,0,8082,327319,1624,0,340234,3209,0,7998,0,0
10,1,73146,1257769,385190,0,1,0,1,1,1,0,0,4791,6582,792,0,13664,1499,0,4708,0,0
11,1,73146,1157601,609732,0,1,0,1,1,1,0,0,9499,4041,625,83,15164,916,0,9457,0,0
12,0,118005,530655,1163269,0,0,1,1,1,1,0,42,3582,2458,750,42,8290,1416,0,3500,0,0
13,0,118005,347412,1266537,0,0,1,1,1,1,0,42,1500,1000,333,42,3500,583,0,1500,0,0
14,0,118005,347413,1231860,0,0,1,1,1,1,0,42,1209,209,83,42,1792,207,0,1209,0,0
15,0,118005,440738,1190725,0,0,1,1,1,1,0,0,500,708,83,0,1625,334,0,500,0,0
16,0,118005,440739,1248299,0,0,1,1,1,1,0,42,916,334,83,0,1542,167,0,875,0,0
17,0,118005,457748,1159936,0,0,1,1,1,1,0,41,1041,15081,83,0,16705,459,0,1000,0,0
18,0,118005,457749,1273652,0,0,1,1,1,1,0,41,833,500,83,42,1833,334,0,750,0,0
19,0,118005,415816,1159535,0,0,1,1,1,1,0,41,542,625,41,0,1458,209,0,458,0,0
20,0,118005,415817,1272845,0,0,1,1,1,1,0,0,959,417,83,0,1916,457,0,959,0,0
21,0,118005,591410,1253033,0,0,1,1,1,1,0,0,958,1042,83,42,2541,416,0,916,0,0
22,0,118005,591411,1265691,0,0,1,1,1,1,0,42,1458,667,292,0,3208,749,0,1416,0,0
23,0,118005,591306,1189858,0,0,1,1,1,1,0,0,542,583,84,0,1500,291,0,542,0,0
24,0,118005,591307,1184240,0,0,1,1,1,1,0,0,458,208,83,0,1000,251,0,458,0,0
25,0,118005,584466,1250374,0,0,1,1,1,1,0,42,917,6665,167,0,93150,85359,0,917,0,0
26,0,118005,584467,1290506,0,0,1,1,1,1,0,41,1250,375,83,42,2208,417,0,1250,0,0
27,0,118005,589490,1141673,0,0,1,1,1,1,0,42,2333,750,83,42,3458,208,0,2292,0,0
28,0,118005,589491,1233663,0,0,1,1,1,1,0,42,1333,584,125,41,2791,666,0,1292,0,0
29,0,118005,566632,1280909,0,0,1,1,1,1,0,42,500,709,125,41,1583,166,0,500,0,0
30,0,118005,566633,1267581,0,0,1,1,1,1,0,0,958,416,84,0,2000,542,0,916,0,0
31,0,118005,566614,1141131,0,0,1,1,1,1,0,0,1041,708,83,42,2291,417,0,959,0,0
32,0,118005,566615,1232121,0,0,1,1,1,1,0,42,416,167,83,42,875,125,0,374,0,0
33,0,118005,565666,1190288,0,0,1,1,1,1,0,42,375,542,83,42,1167,83,0,291,0,0
34,0,118005,565667,1293548,0,0,1,1,1,1,0,42,541,167,125,41,1083,167,0,541,0,0
35,0,118005,588936,1269092,0,0,1,1,1,1,0,42,958,625,83,0,2083,375,0,916,0,0
36,0,118005,588937,1250050,0,0,1,1,1,1,0,42,583,208,125,42,1167,167,0,542,0,0
37,0,118005,561280,1216258,0,0,1,1,1,1,0,0,1333,916,125,41,2999,584,0,1291,0,0
38,0,118005,561281,1240663,0,0,1,1,1,1,0,0,542,208,83,42,1167,292,0,542,0,0
39,0,118005,565756,1203300,0,0,1,1,1,1,0,0,792,791,83,42,2042,334,0,750,0,0
40,0,118005,565757,1239585,0,0,1,1,1,1,0,42,458,166,84,0,958,208,0,417,0,0
41,0,118005,563224,1298562,0,0,1,1,1,1,0,42,1000,750,84,0,2249,373,0,958,0,0
42,0,118005,563225,1261995,0,0,1,1,1,1,0,0,1084,500,84,42,2166,456,0,1084,0,0
43,0,118005,567044,1265911,0,0,1,1,1,1,0,41,375,667,42,0,1333,208,0,292,0,0
44,0,118005,567045,1280874,0,0,1,1,1,1,0,0,959,334,84,0,1833,456,0,959,0,0
45,0,118005,563194,1187631,0,0,1,1,1,1,0,42,541,584,83,42,1459,167,0,500,0,0
46,0,118005,563195,1237153,0,0,1,1,1,1,0,0,1375,208,42,0,1874,249,0,1333,0,0
47,0,118005,563112,1239340,0,0,1,1,1,1,0,0,959,500,84,41,1791,207,0,917,0,0
48,0,118005,563113,1211928,0,0,1,1,1,1,0,42,541,166,83,42,1000,126,0,500,0,0
49,0,118005,569138,1292387,0,0,1,1,1,1,0,41,1083,1000,167,83,2874,500,0,1041,0,0
50,0,118005,569139,1228333,0,0,1,1,1,1,0,41,1125,833,125,42,2625,459,0,1084,0,0
51,0,118005,574778,1211937,0,0,1,1,1,1,0,0,916,666,83,42,1917,210,0,916,0,0
52,0,118005,574779,1217415,0,0,1,1,1,1,0,0,1042,541,83,42,2042,334,0,1000,0,0
53,0,118005,570648,1205411,0,0,1,1,1,1,0,42,917,708,83,0,2208,458,0,917,0,0
54,0,118005,570649,1283393,0,0,1,1,1,1,0,42,1000,417,125,41,2082,457,0,1000,0,0
55,0,118005,570044,1193359,0,0,1,1,1,1,0,0,375,583,83,42,1292,209,0,375,0,0
