seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,117961,711464,1283945,0,0,1,1,1,1,0,42,12123,5916,792,41,23954,5040,0,12123,0,0
2,0,117961,723150,1225339,0,0,1,1,1,1,0,42,1167,917,84,0,2666,456,0,1167,0,0
3,0,117961,735650,1272839,0,0,1,1,1,1,0,0,1333,3874,458,42,6166,459,0,1249,0,0
4,0,117961,721723,1262941,0,0,1,1,1,1,0,42,1333,750,83,42,2541,291,0,1250,0,0
5,0,117961,699156,1206244,0,0,1,1,1,1,0,41,1375,916,83,42,2833,376,0,1292,0,0
6,0,117961,445264,1282452,0,0,1,1,1,1,0,42,958,917,84,41,2333,291,0,874,0,0
7,0,117961,626865,1205918,0,0,1,1,1,1,0,41,1291,7498,416,42,9707,419,0,1250,0,0
8,0,117961,518561,1242000,0,0,1,1,1,1,0,0,792,958,83,42,2291,416,0,792,0,0
9,0,117961,517492,1264752,0,0,1,1,1,1,0,42,792,916,84,41,2208,333,0,708,0,0
10,0,117961,657663,1277158,0,0,1,1,1,1,0,41,999,3083,458,416,64322,59325,0,999,0,0
11,0,117961,444552,1264538,0,0,1,1,1,1,0,41,1958,1084,291,42,4041,625,0,1875,0,0
12,0,117961,781183,1156930,0,0,1,1,1,1,0,41,1334,2749,459,0,5041,458,0,1292,0,0
13,0,117961,751413,1283299,0,0,1,1,1,1,0,41,1084,1042,83,42,2625,333,0,1084,0,0
14,0,117961,692878,1279872,0,0,1,1,1,1,0,42,1291,3749,458,41,5999,418,0,1291,0,0
15,0,117961,758274,1142957,0,0,1,1,1,1,0,42,1375,4124,417,41,6374,375,0,1291,0,0
16,0,117961,634525,1137531,0,0,1,1,1,1,0,0,1041,23330,2083,208,28662,2000,0,959,0,0
17,0,117961,634993,1269187,0,0,1,1,1,1,0,0,2667,1666,208,42,5458,875,0,2625,0,0
18,0,117961,785287,1268038,0,0,1,1,1,1,0,41,2125,5499,916,42,9831,1208,0,2083,0,0
19,0,117961,777748,1201179,0,0,1,1,1,1,0,0,1750,4957,625,83,8082,667,0,1708,0,0
20,0,117961,761484,1238963,0,0,1,1,1,1,0,41,1750,1125,209,83,3666,458,0,1666,0,0
21,0,117961,512057,1271675,0,0,1,1,1,1,0,0,500,1208,125,42,2250,375,0,458,0,0
22,0,117961,754204,1089013,0,0,1,1,1,1,0,0,29620,1792,709,84,33869,1664,0,29536,0,0
23,0,117961,687300,1163154,0,0,1,1,1,1,0,42,2125,52032,958,41,56115,917,0,2083,0,0
24,0,117961,647444,1286329,0,0,1,1,1,1,0,0,1624,1583,167,42,4208,792,0,1542,0,0
25,0,117961,632366,1152626,0,0,1,1,1,1,0,0,1416,9206,791,41,14372,2918,0,1375,0,0
26,0,117961,752291,1193732,0,0,1,1,1,1,0,0,1334,1292,167,83,3625,749,0,1250,0,0
27,0,117961,674004,1182527,0,0,1,1,1,1,0,41,1416,47825,1000,42,51324,1000,0,1375,0,0
28,0,117961,686611,1191564,0,0,1,1,1,1,0,42,1249,1083,125,42,3000,459,0,1249,0,0
29,0,117961,633919,1239465,0,0,1,1,1,1,0,42,1375,1000,750,42,39701,36492,0,1333,0,0
