seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,116551,620388,1204132,0,0,1,1,1,1,0,41,791,5121,291,42,7036,750,0,708,0,0
2,0,116551,619465,1213748,0,0,1,1,1,1,0,42,458,3789,166,0,4621,166,0,417,0,0
3,0,116551,615637,1140838,0,0,1,1,1,1,0,0,541,833,125,0,1873,374,0,500,0,0
4,0,116551,618151,1210703,0,0,1,1,1,1,0,0,458,541,125,0,1373,249,0,375,0,0
5,0,116551,746392,1269537,0,0,1,1,1,1,0,0,499,2790,458,42,4246,457,0,458,0,0
6,0,116551,615370,1280138,0,0,1,1,1,1,0,0,583,2789,458,42,4163,291,0,541,0,0
7,0,116551,621009,1153966,0,0,1,1,1,1,0,42,2873,3414,333,42,6870,166,0,2789,0,0
8,0,116551,751155,1181398,0,0,1,1,1,1,0,41,500,2665,500,42,3955,207,0,458,0,0
9,0,116551,777698,1292953,0,0,1,1,1,1,0,42,583,749,125,0,1666,167,0,500,0,0
10,0,116551,629549,1184032,0,0,1,1,1,1,0,41,417,2790,458,0,4288,582,0,417,0,0
11,0,116551,750264,1145649,0,0,1,1,1,1,0,41,624,4080,166,42,5204,251,0,582,0,0
12,0,116551,639474,1297232,0,0,1,1,1,1,0,42,458,2790,416,42,4164,416,0,416,0,0
13,0,116551,580576,1241656,0,0,1,1,1,1,0,0,458,750,166,42,1582,166,0,458,0,0
14,0,116551,621631,1184566,0,0,1,1,1,1,0,0,458,666,166,42,1499,167,0,417,0,0
15,0,116551,620143,1257516,0,0,1,1,1,1,0,0,500,625,167,41,1457,124,0,458,0,0
16,0,116551,618447,1253514,0,0,1,1,1,1,0,0,499,541,167,41,1374,126,0,417,0,0
17,0,116551,773895,1212249,0,0,1,1,1,1,0,0,541,2914,124,0,3830,251,0,499,0,0
18,0,116551,614531,1202248,0,0,1,1,1,1,0,42,499,2581,500,0,3872,250,0,417,0,0
19,0,116551,607410,1246823,0,0,1,1,1,1,0,42,458,832,208,42,1749,167,0,458,0,0
20,0,116551,609543,1226774,0,0,1,1,1,1,0,0,458,708,166,42,1499,125,0,417,0,0
21,0,116551,606742,1298400,0,0,1,1,1,1,0,0,458,833,166,42,1624,125,0,417,0,0
22,0,116551,613335,1187815,0,0,1,1,1,1,0,42,500,3955,166,42,4830,125,0,458,0,0
23,0,116551,612460,1229384,0,0,1,1,1,1,0,41,458,666,166,42,1540,167,0,416,0,0
24,0,116551,614515,1151192,0,0,1,1,1,1,0,0,458,541,124,42,1374,209,0,458,0,0
25,0,116551,720351,1252902,0,0,1,1,1,1,0,0,5412,6745,375,42,12823,249,0,5371,0,0
26,0,116551,779933,1296828,0,0,1,1,1,1,0,0,3497,3081,291,0,7244,375,0,3497,0,0
