seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,116551,620045,1184727,0,0,1,1,1,1,0,41,1332,1124,458,0,3705,750,0,1332,0,0
2,0,116551,709954,1241757,0,0,1,1,1,1,0,0,458,541,83,41,1290,167,0,374,0,0
3,0,116551,608533,1162110,0,0,1,1,1,1,0,0,417,500,83,0,1249,249,0,417,0,0
4,0,116551,608450,1189246,0,0,1,1,1,1,0,42,458,458,42,0,1166,166,0,375,0,0
5,0,116551,332353,1192670,0,0,1,1,1,1,0,0,375,458,83,42,1166,208,0,375,0,0
6,0,116551,330264,1279150,0,0,1,1,1,1,0,41,416,458,83,0,1248,250,0,416,0,0
7,0,116551,608529,1145420,0,0,1,1,1,1,0,42,374,458,83,0,1124,167,0,333,0,0
8,0,116551,608532,1156843,0,0,1,1,1,1,0,0,374,375,84,41,1040,166,0,292,0,0
9,0,116551,608684,1196170,0,0,1,1,1,1,0,42,374,458,83,41,1124,126,0,333,0,0
10,0,116551,608574,1263434,0,0,1,1,1,1,0,42,333,416,41,0,1082,250,0,333,0,0
11,0,116551,607991,1263734,0,0,1,1,1,1,0,42,375,500,84,0,1166,165,0,375,0,0
12,0,116551,607477,1190778,0,0,1,1,1,1,0,42,457,458,84,41,1207,125,0,416,0,0
13,0,116551,607716,1243086,0,0,1,1,1,1,0,42,416,500,83,42,1166,83,0,333,0,0
14,0,116551,608575,1265987,0,0,1,1,1,1,0,0,416,292,83,42,999,166,0,333,0,0
15,0,116551,608685,1139823,0,0,1,1,1,1,0,0,375,416,42,0,1124,291,0,375,0,0
16,0,116551,607927,1246176,0,0,1,1,1,1,0,0,416,458,83,42,1208,209,0,416,0,0
17,0,116551,607983,1176890,0,0,1,1,1,1,0,42,458,375,83,0,1249,291,0,458,0,0
18,0,116551,607990,1215626,0,0,1,1,1,1,0,0,374,416,83,42,1125,210,0,374,0,0
19,0,116551,607300,1149943,0,0,1,1,1,1,0,42,375,416,83,42,1083,125,0,334,0,0
20,0,116551,607515,1199651,0,0,1,1,1,1,0,42,416,500,84,0,1166,124,0,333,0,0
21,0,116551,608711,1218032,0,0,1,1,1,1,0,42,417,458,83,42,1166,124,0,375,0,0
22,0,116551,608127,1159633,0,0,1,1,1,1,0,42,541,416,83,42,1291,167,0,541,0,0
23,0,116551,607298,1263690,0,0,1,1,1,1,0,0,417,458,83,42,1166,166,0,375,0,0
24,0,116551,607452,1232136,0,0,1,1,1,1,0,0,374,625,83,0,1333,251,0,292,0,0
25,0,116551,607840,1249379,0,0,1,1,1,1,0,0,375,457,84,41,1207,250,0,375,0,0
26,0,116551,608095,1224127,0,0,1,1,1,1,0,42,374,416,125,41,1165,167,0,333,0,0
27,0,116551,607360,1264643,0,0,1,1,1,1,0,0,416,458,125,41,1248,208,0,375,0,0
28,0,116551,607563,1191598,0,0,1,1,1,1,0,42,458,417,83,0,1207,207,0,375,0,0
29,0,116551,614985,1152019,0,0,1,1,1,1,0,0,458,499,83,0,1290,250,0,416,0,0
30,0,116551,615034,1186838,0,0,1,1,1,1,0,42,416,500,83,42,1166,83,0,333,0,0
31,0,116551,615035,1287607,0,0,1,1,1,1,0,0,374,334,83,42,999,166,0,292,0,0
32,0,116551,614971,1220972,0,0,1,1,1,1,0,0,333,458,83,0,1124,250,0,333,0,0
33,0,116551,616108,1140913,0,0,1,1,1,1,0,0,333,416,84,41,1082,208,0,333,0,0
34,0,116551,615997,1249784,0,0,1,1,1,1,0,0,500,499,83,41,1332,209,0,458,0,0
35,0,116551,617485,1236474,0,0,1,1,1,1,0,42,416,500,83,0,1249,208,0,374,0,0
36,0,116551,617109,1166986,0,0,1,1,1,1,0,0,374,458,83,41,1124,168,0,333,0,0
37,0,116551,617119,1266357,0,0,1,1,1,1,0,42,417,500,83,0,1249,207,0,417,0,0
38,0,116551,617133,1267407,0,0,1,1,1,1,0,42,333,458,84,0,1166,249,0,333,0,0
39,0,116551,617137,1217610,0,0,1,1,1,1,0,0,375,458,84,41,1124,166,0,334,0,0
40,0,116551,617197,1275381,0,0,1,1,1,1,0,0,375,416,83,0,1124,250,0,334,0,0
41,0,116551,616866,1264704,0,0,1,1,1,1,0,42,416,458,83,42,1166,125,0,333,0,0
42,0,116551,617196,1216478,0,0,1,1,1,1,0,0,375,416,83,42,1124,208,0,375,0,0
43,0,116551,615043,1148378,0,0,1,1,1,1,0,0,416,416,83,41,1124,168,0,333,0,0
44,0,116551,617166,1280650,0,0,1,1,1,1,0,0,374,416,83,42,1125,210,0,374,0,0
45,0,116551,617300,1259362,0,0,1,1,1,1,0,0,624,416,83,0,1373,250,0,624,0,0
46,0,116551,617344,1288840,0,0,1,1,1,1,0,0,374,500,83,42,1208,209,0,333,0,0
47,0,116551,616971,1262190,0,0,1,1,1,1,0,42,375,417,83,42,1083,124,0,333,0,0
48,0,116551,617212,1156762,0,0,1,1,1,1,0,0,375,375,84,41,1082,207,0,375,0,0
49,0,116551,617246,1287627,0,0,1,1,1,1,0,0,375,416,84,0,1124,249,0,375,0,0
50,0,116551,617254,1288215,0,0,1,1,1,1,0,42,416,416,125,42,1166,125,0,375,0,0
51,0,116551,617213,1202735,0,0,1,1,1,1,0,0,375,250,125,41,957,166,0,375,0,0
52,0,116551,617255,1191743,0,0,1,1,1,1,0,42,416,208,83,42,875,84,0,333,0,0
53,0,116551,617310,1208178,0,0,1,1,1,1,0,0,375,457,83,42,1166,209,0,375,0,0
54,0,116551,616159,1265587,0,0,1,1,1,1,0,41,375,458,83,0,1165,208,0,375,0,0
55,0,116551,617296,1226824,0,0,1,1,1,1,0,42,416,458,83,42,1124,83,0,333,0,0
56,0,116551,617311,1194419,0,0,1,1,1,1,0,0,417,249,83,42,958,167,0,333,0,0
57,0,116551,617341,1200311,0,0,1,1,1,1,0,0,541,458,83,42,1332,208,0,541,0,0
58,0,116551,617261,1146745,0,0,1,1,1,1,0,0,375,457,83,0,1166,251,0,375,0,0
59,0,116551,617268,1289641,0,0,1,1,1,1,0,0,375,499,84,41,1165,166,0,333,0,0
60,0,116551,617269,1184134,0,0,1,1,1,1,0,42,375,250,83,0,958,208,0,333,0,0
61,0,116551,617301,1209066,0,0,1,1,1,1,0,42,375,208,84,41,874,124,0,333,0,0
62,0,116551,617315,1138928,0,0,1,1,1,1,0,42,416,458,83,0,1125,126,0,333,0,0
63,0,116551,616669,1249424,0,0,1,1,1,1,0,41,375,458,83,42,1166,167,0,333,0,0
64,0,116551,615804,1234099,0,0,1,1,1,1,0,0,375,457,83,0,1165,250,0,333,0,0
65,0,116551,615849,1234638,0,0,1,1,1,1,0,42,375,500,42,0,1166,207,0,334,0,0
66,0,116551,615903,1291002,0,0,1,1,1,1,0,42,375,416,84,0,1124,207,0,333,0,0
67,0,116551,616712,1155961,0,0,1,1,1,1,0,42,374,458,83,42,1166,167,0,374,0,0
68,0,116551,616230,1201588,0,0,1,1,1,1,0,0,375,499,84,41,1207,208,0,375,0,0
69,0,116551,616362,1249046,0,0,1,1,1,1,0,42,416,541,84,41,1207,83,0,333,0,0
70,0,116551,615539,1158479,0,0,1,1,1,1,0,0,375,499,84,41,1165,166,0,333,0,0
