seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,116551,540626,1216995,0,0,1,2,0,1,0,83,11740,9867,1873,208,26978,3207,0,11615,0,0
2,0,116551,540618,1231437,0,0,1,2,0,1,0,41,3164,2165,582,83,6620,585,0,3081,0,0
3,0,116551,540535,1240175,0,0,1,2,0,1,0,41,1998,2789,458,84,5995,625,0,1915,0,0
4,0,116551,540522,1283507,0,0,1,2,0,1,0,42,2373,2206,458,83,5870,708,0,2290,0,0
5,0,116551,540520,1286429,0,0,1,2,0,1,0,83,1458,1541,458,83,4121,498,0,1290,0,0
6,0,116551,540479,1269230,0,0,1,2,0,1,0,42,2790,1790,499,42,5787,624,0,2706,0,0
7,0,116551,540374,1165653,0,0,1,2,0,1,0,42,2165,2373,500,83,5703,540,0,2082,0,0
8,0,116551,540569,1159840,0,0,1,2,0,1,0,84,3123,2040,458,42,6328,581,0,2997,0,0
9,0,116551,540645,1259123,0,0,1,2,0,1,0,42,2998,2373,458,83,6536,582,0,2914,0,0
10,0,116551,540775,1296246,0,0,1,2,0,1,0,83,1416,2706,458,83,5328,582,0,1291,0,0
11,0,116551,540743,1217951,0,0,1,2,0,1,0,83,2373,2290,458,83,5787,500,0,2248,0,0
12,0,116551,540738,1232902,0,0,1,2,0,1,0,42,1915,1873,458,41,5246,917,0,1832,0,0
13,0,116551,540693,1191230,0,0,1,2,0,1,0,42,11032,2331,541,83,14738,709,0,10949,0,0
14,0,116551,540683,1213408,0,0,1,2,0,1,0,42,2456,1832,458,83,5454,583,0,2373,0,0
15,0,116551,540681,1275659,0,0,1,2,0,1,0,42,3164,2206,458,84,6536,582,0,3081,0,0
16,0,116551,541183,1177462,0,0,1,2,0,1,0,83,2164,1915,458,84,5287,583,0,2040,0,0
17,0,116551,541124,1188959,0,0,1,2,0,1,0,41,2081,2082,542,83,5370,541,0,1957,0,0
18,0,116551,541071,1239651,0,0,1,2,0,1,0,41,2248,1957,458,83,5371,584,0,2165,0,0
19,0,116551,541036,1200418,0,0,1,2,0,1,0,41,3247,3040,500,42,7494,624,0,3164,0,0
20,0,116551,540986,1223004,0,0,1,2,0,1,0,41,2457,1915,457,83,5579,626,0,2373,0,0
21,0,116551,540914,1152399,0,0,1,2,0,1,0,83,5246,1874,500,42,8285,540,0,5121,0,0
22,0,116551,540814,1260916,0,0,1,2,0,1,0,83,2831,2415,458,83,6411,541,0,2706,0,0
23,0,116551,540812,1163842,0,0,1,2,0,1,0,42,2207,1915,458,83,5329,624,0,2123,0,0
24,0,116551,540811,1247614,0,0,1,2,0,1,0,42,2665,2207,500,42,6078,622,0,2539,0,0
25,0,116551,540779,1223605,0,0,1,2,0,1,0,42,2748,1957,500,42,6161,872,0,2664,0,0
26,0,116551,540804,1246806,0,0,1,2,0,1,0,83,2540,2373,458,41,6078,583,0,2415,0,0
27,0,116551,540829,1291208,0,0,1,2,0,1,0,84,2790,2082,458,83,6036,539,0,2664,0,0
28,0,116551,541303,1215503,0,0,1,2,0,1,0,42,2998,2290,499,42,6453,582,0,2873,0,0
29,0,116551,541300,1298313,0,0,1,2,0,1,0,42,1748,1540,458,83,4455,584,0,1665,0,0
30,0,116551,541271,1234618,0,0,1,2,0,1,0,41,3247,1873,458,42,6369,708,0,3164,0,0
31,0,116551,541202,1196748,0,0,1,2,0,1,0,83,1498,1956,499,41,4913,836,0,1374,0,0
32,0,116551,541619,1221116,0,0,1,2,0,1,0,83,2623,2456,458,83,6203,500,0,2498,0,0
33,0,116551,541603,1228165,0,0,1,2,0,1,0,41,2373,1957,500,41,5496,584,0,2248,0,0
34,0,116551,541519,1282563,0,0,1,2,0,1,0,41,1915,2165,458,42,5329,708,0,1832,0,0
35,0,116551,541388,1258314,0,0,1,2,0,1,0,42,2914,2331,457,83,6453,626,0,2831,0,0
36,0,116551,541350,1274364,0,0,1,2,0,1,0,42,2457,2248,458,83,5870,582,0,2331,0,0
37,0,116551,541326,1262122,0,0,1,2,0,1,0,42,2165,68402,2248,124,74480,1499,0,1957,0,0
38,0,116551,541320,1216538,0,0,1,2,0,1,0,84,3039,1832,500,42,6036,539,0,2915,0,0
39,0,116551,541319,1255208,0,0,1,2,0,1,0,84,2373,2331,458,41,5870,583,0,2249,0,0
40,0,116551,541536,1278610,0,0,1,2,0,1,0,83,2123,1541,499,42,4871,583,0,1998,0,0
41,0,116551,542209,1236636,0,0,1,2,0,1,0,41,2622,2040,500,41,5871,627,0,2540,0,0
42,0,116551,542639,1291722,0,0,1,2,0,1,0,42,2123,1791,500,84,5162,622,0,2040,0,0
43,0,116551,542533,1240229,0,0,1,2,0,1,0,42,2456,2248,458,83,5870,583,0,2373,0,0
44,0,116551,542496,1257860,0,0,1,2,0,1,0,83,3039,1831,458,84,5995,500,0,2956,0,0
45,0,116551,542429,1201296,0,0,1,2,0,1,0,42,1957,1665,458,41,4829,666,0,1873,0,0
46,0,116551,542971,1188249,0,0,1,2,0,1,0,83,2706,1873,499,83,5745,501,0,2582,0,0
47,0,116551,542839,1189722,0,0,1,2,0,1,0,42,2539,2290,458,42,5995,624,0,2457,0,0
48,0,116551,542746,1211326,0,0,1,2,0,1,0,42,2165,2249,500,42,5620,622,0,2081,0,0
49,0,116551,543230,1250546,0,0,1,2,0,1,0,41,1540,1915,500,84,4663,583,0,1416,0,0
50,0,116551,543227,1164714,0,0,1,2,0,1,0,84,1957,1790,499,83,4954,541,0,1831,0,0
51,0,116551,543225,1176614,0,0,1,2,0,1,0,41,2581,2123,500,84,5911,582,0,2498,0,0
52,0,116551,543086,1170526,0,0,1,2,0,1,0,41,2498,1748,458,83,5453,625,0,2415,0,0
53,0,116551,543030,1216329,0,0,1,2,0,1,0,41,2290,2165,458,42,5621,625,0,2207,0,0
54,0,116551,543028,1152295,0,0,1,2,0,1,0,83,1498,1707,500,41,4372,543,0,1332,0,0
55,0,116551,543026,1206774,0,0,1,2,0,1,0,42,2706,1540,458,41,5412,625,0,2623,0,0
56,0,116551,542988,1201052,0,0,1,2,0,1,0,84,2457,1624,458,83,5204,498,0,2289,0,0
57,0,116551,542979,1188334,0,0,1,2,0,1,0,42,2498,1666,500,41,5370,623,0,2414,0,0
58,0,116551,542977,1289845,0,0,1,2,0,1,0,41,2123,1540,458,84,4871,625,0,2040,0,0
59,0,116551,543034,1212302,0,0,1,2,0,1,0,84,2165,1624,458,42,4912,539,0,1998,0,0
60,0,116551,543044,1243245,0,0,1,2,0,1,0,42,2123,1748,458,83,5037,583,0,2040,0,0
61,0,116551,543735,1298353,0,0,1,2,0,1,0,42,1416,2123,458,83,4746,624,0,1332,0,0
62,0,116551,543674,1191222,0,0,1,2,0,1,0,42,1832,1874,541,83,4996,624,0,1748,0,0
63,0,116551,543299,1224735,0,0,1,2,0,1,0,41,1748,2040,458,84,4996,625,0,1665,0,0
64,0,116551,543427,1211985,0,0,1,2,0,1,0,41,2332,2539,457,83,6037,585,0,2248,0,0
