seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1677,24636,1112390,0,0,1,0,0,1,0,0,3349,4602,749,209,152027659153,152027650244,0,3349,0,1239,160,4
2,0,1677,24637,1143266,0,0,1,0,0,1,0,0,304,838,155,30,152027661888,152027660561,0,304,0,135,160,4
3,0,1677,24638,1146824,0,0,1,0,0,1,0,0,224,812,145,29,152027663573,152027662363,0,224,0,96,160,4
4,0,1677,24639,1199200,0,0,1,0,0,1,0,0,240,803,146,30,152027665247,152027664028,0,240,0,114,160,4
5,0,1677,24676,1149841,0,0,1,0,0,1,0,0,266,1003,145,30,152027666943,152027665499,0,266,0,139,160,4
6,0,1677,24677,1146634,0,0,1,0,0,1,0,0,222,861,145,29,152027668361,152027667104,0,222,0,95,160,4
7,0,1677,24678,1104993,0,0,1,0,0,1,0,0,218,842,144,29,152027669727,152027668494,0,218,0,94,160,4
8,0,1677,24679,1134352,0,0,1,0,0,1,0,0,223,824,144,31,152027671078,152027669856,0,223,0,96,160,4
9,0,1677,24684,1147228,0,0,1,0,0,1,0,0,222,829,146,30,152027672433,152027671206,0,222,0,96,160,4
10,0,1677,24685,1147609,0,0,1,0,0,1,0,0,219,807,146,31,152027673769,152027672566,0,219,0,94,160,4
11,0,1677,24686,1149970,0,0,1,0,0,1,0,0,220,804,145,32,152027675103,152027673902,0,220,0,95,160,4
12,0,1677,24687,1144921,0,0,1,0,0,1,0,0,223,819,145,30,152027676453,152027675236,0,223,0,96,160,4
13,0,1677,24688,1112388,0,0,1,0,0,1,0,0,258,917,151,30,152027677907,152027676551,0,258,0,127,160,4
14,0,1677,24689,1161789,0,0,1,0,0,1,0,0,219,813,145,30,152027679254,152027678047,0,219,0,94,160,4
15,0,1677,24690,1160533,0,0,1,0,0,1,0,0,219,819,148,30,152027680738,152027679522,0,219,0,96,160,4
16,0,1677,24691,1177286,0,0,1,0,0,1,0,0,222,813,143,31,152027682263,152027681054,0,222,0,95,160,4
17,0,1677,24696,1176401,0,0,1,0,0,1,0,0,263,1202,147,30,152027684436,152027682794,0,263,0,135,160,4
18,0,1677,24697,1160977,0,0,1,0,0,1,0,0,221,763,145,30,152027685923,152027684764,0,221,0,95,160,4
19,0,1677,24698,1104145,0,0,1,0,0,1,0,0,220,752,147,30,152027687350,152027686201,0,220,0,95,160,4
20,0,1677,24699,1105469,0,0,1,0,0,1,0,0,233,758,146,30,152027688777,152027687610,0,233,0,107,160,4
21,0,1677,24700,1144212,0,0,1,0,0,1,0,0,262,774,150,30,152027690083,152027688867,0,262,0,135,160,4
22,0,1677,24701,1138604,0,0,1,0,0,1,0,0,218,1025,150,30,152027691638,152027690215,0,218,0,95,160,4
23,0,1677,24702,1109113,0,0,1,0,0,1,0,0,216,735,147,30,152027692900,152027691772,0,216,0,93,160,4
24,0,1677,24703,1138477,0,0,1,0,0,1,0,0,221,760,145,30,152027694213,152027693057,0,221,0,95,160,4
25,0,1677,24724,1138592,0,0,1,0,0,1,0,0,219,1033,145,30,152027695773,152027694346,0,219,0,94,160,4
26,0,1677,24725,1161082,0,0,1,0,0,1,0,0,218,738,146,29,152027697040,152027695909,0,218,0,94,160,4
27,0,1677,24726,1138595,0,0,1,0,0,1,0,0,218,749,143,30,152027698318,152027697178,0,218,0,95,160,4
28,0,1677,24727,1138599,0,0,1,0,0,1,0,0,218,765,146,31,152027699610,152027698450,0,218,0,95,160,4
29,0,1677,24728,1138478,0,0,1,0,0,1,0,0,265,888,144,31,152027701021,152027699693,0,265,0,137,160,4
30,0,1677,24729,1108162,0,0,1,0,0,1,0,0,222,766,146,30,152027702321,152027701157,0,222,0,95,160,4
31,0,1677,24730,1184260,0,0,1,0,0,1,0,0,220,758,143,30,152027703612,152027702461,0,220,0,95,160,4
32,0,1677,24731,1161679,0,0,1,0,0,1,0,0,218,1211,145,30,152027705339,152027703735,0,218,0,94,160,4
33,0,1677,24736,1184264,0,0,1,0,0,1,0,0,391,920,191,29,152027761218,152027759687,0,391,0,232,84,4
34,0,1677,24737,1203832,0,0,1,0,0,1,0,0,227,834,145,30,152027762640,152027761404,0,227,0,95,84,4
35,0,1677,24738,1161787,0,0,1,0,0,1,0,0,224,804,144,31,152027763984,152027762781,0,224,0,95,84,4
36,0,1677,24739,1104143,0,0,1,0,0,1,0,0,224,822,146,31,152027765334,152027764111,0,224,0,95,84,4
37,0,1677,25544,1196049,0,0,1,0,0,1,0,0,289,1144,146,32,152027767006,152027765395,0,289,0,160,84,4
38,0,1677,25545,1124159,0,0,1,0,0,1,0,0,230,818,144,29,152027768394,152027767173,0,230,0,103,84,4
39,0,1677,25546,1120690,0,0,1,0,0,1,0,0,219,889,145,29,152027769820,152027768538,0,219,0,95,84,4
40,0,1677,25547,1153176,0,0,1,0,0,1,0,0,217,847,144,30,152027771355,152027770117,0,217,0,94,84,4
41,0,1677,25548,1153183,0,0,1,0,0,1,0,0,223,771,146,30,152027772942,152027771772,0,223,0,96,84,4
42,0,1677,25549,1074238,0,0,1,0,0,1,0,0,218,806,145,31,152027774581,152027773381,0,218,0,95,84,4
43,0,1677,25550,1148146,0,0,1,0,0,1,0,0,221,1032,157,31,152027777291,152027775850,0,221,0,95,84,4
44,0,1677,25551,1157917,0,0,1,0,0,1,0,0,218,828,145,30,152027778997,152027777776,0,218,0,94,84,4
45,0,1677,25556,1203735,0,0,1,0,0,1,0,0,219,820,146,31,152027780505,152027779289,0,219,0,94,84,4
46,0,1677,25557,1120927,0,0,1,0,0,1,0,0,220,769,144,31,152027781924,152027780760,0,220,0,94,84,4
47,0,1677,25558,1138813,0,0,1,0,0,1,0,0,217,751,144,31,152027783202,152027782059,0,217,0,95,84,4
48,0,1677,25559,1142435,0,0,1,0,0,1,0,0,220,771,145,31,152027784510,152027783343,0,220,0,94,84,4
49,0,1677,25560,1146249,0,0,1,0,0,1,0,0,263,947,149,30,152027785997,152027784608,0,263,0,136,84,4
50,0,1677,25561,1149235,0,0,1,0,0,1,0,0,219,860,144,30,152027787383,152027786130,0,219,0,93,84,4
51,0,1677,25562,1148151,0,0,1,0,0,1,0,0,221,755,144,30,152027788677,152027787527,0,221,0,96,84,4
52,0,1677,25563,1138803,0,0,1,0,0,1,0,0,217,757,145,30,152027789958,152027788809,0,217,0,94,84,4
53,0,1677,25564,1192566,0,0,1,0,0,1,0,0,224,751,144,30,152027791232,152027790083,0,224,0,97,84,4
