seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1692,188361,1872627,0,0,1,0,0,1,0,0,3800,5068,1383,195,353967641101,353967630655,0,3800,0,1565,142,4
2,0,1692,188362,1872628,0,0,1,0,0,1,0,0,235,900,174,30,353967644093,353967642754,0,235,0,94,142,4
3,0,1692,188376,1872629,0,0,1,0,0,1,0,0,282,989,143,30,353967645953,353967644509,0,282,0,149,142,4
4,0,1692,188377,1872630,0,0,1,0,0,1,0,0,275,893,142,31,353967647707,353967646366,0,275,0,145,142,4
5,0,1692,188378,1872631,0,0,1,0,0,1,0,0,222,967,143,30,353967649356,353967647994,0,222,0,95,142,4
6,0,1692,188379,1872632,0,0,1,0,0,1,0,0,221,836,140,30,353967650847,353967649620,0,221,0,96,142,4
7,0,1692,188380,1872633,0,0,1,0,0,1,0,0,225,853,142,30,353967652220,353967650970,0,225,0,95,142,4
8,0,1692,188381,1872634,0,0,1,0,0,1,0,0,221,849,140,32,353967653587,353967652345,0,221,0,93,142,4
9,0,1692,188382,1872635,0,0,1,0,0,1,0,0,222,1142,141,30,353967655250,353967653715,0,222,0,96,142,4
10,0,1692,188383,1872636,0,0,1,0,0,1,0,0,221,1185,142,30,353967656955,353967655377,0,221,0,96,142,4
11,0,1692,188384,1872637,0,0,1,0,0,1,0,0,221,1021,145,29,353967658514,353967657098,0,221,0,94,142,4
12,0,1692,188385,1872638,0,0,1,0,0,1,0,0,221,818,148,30,353967659859,353967658642,0,221,0,93,142,4
13,0,1692,188386,1872639,0,0,1,0,0,1,0,0,221,837,142,30,353967661215,353967659985,0,221,0,94,142,4
14,0,1692,188387,1872640,0,0,1,0,0,1,0,0,219,938,141,31,353967662668,353967661339,0,219,0,94,142,4
15,0,1692,188388,1872641,0,0,1,0,0,1,0,0,219,863,145,30,353967664056,353967662799,0,219,0,93,142,4
16,0,1692,188389,1872642,0,0,1,0,0,1,0,0,221,828,141,30,353967665417,353967664197,0,221,0,94,142,4
17,0,1692,188390,1872643,0,0,1,0,0,1,0,0,218,882,142,30,353967666818,353967665546,0,218,0,93,142,4
18,0,1692,188391,1872644,0,0,1,0,0,1,0,0,223,1009,143,30,353967668345,353967666940,0,223,0,95,142,4
19,0,1692,188392,1872645,0,0,1,0,0,1,0,0,221,1031,141,31,353967669894,353967668470,0,221,0,94,142,4
20,0,1692,188393,1872646,0,0,1,0,0,1,0,0,218,855,143,29,353967671476,353967670231,0,218,0,93,142,4
21,0,1692,188394,1086220,0,0,1,0,0,1,0,0,218,934,142,33,353967673259,353967671932,0,218,0,92,142,4
22,0,1692,188395,1087985,0,0,1,0,0,1,0,0,220,820,141,30,353967674950,353967673739,0,220,0,93,142,4
23,0,1692,188396,1088016,0,0,1,0,0,1,0,0,218,835,141,30,353967676576,353967675352,0,218,0,93,142,4
24,0,1692,188397,1872647,0,0,1,0,0,1,0,0,221,824,142,31,353967678091,353967676873,0,221,0,94,142,4
25,0,1692,188398,1086190,0,0,1,0,0,1,0,0,220,919,141,33,353967679677,353967678364,0,220,0,96,142,4
26,0,1692,188399,1086191,0,0,1,0,0,1,0,0,221,780,142,32,353967680983,353967679808,0,221,0,95,142,4
27,0,1692,188400,1087986,0,0,1,0,0,1,0,0,221,767,141,30,353967682276,353967681117,0,221,0,94,142,4
28,0,1692,188401,1087987,0,0,1,0,0,1,0,0,221,828,143,29,353967683628,353967682407,0,221,0,95,142,4
29,0,1692,188402,1086216,0,0,1,0,0,1,0,0,221,828,142,30,353967684978,353967683757,0,221,0,93,142,4
30,0,1692,188403,1086217,0,0,1,0,0,1,0,0,219,786,143,30,353967686289,353967685111,0,219,0,94,142,4
31,0,1692,188404,1086218,0,0,1,0,0,1,0,0,220,764,141,30,353967687574,353967686419,0,220,0,94,142,4
32,0,1692,188405,1086219,0,0,1,0,0,1,0,0,220,790,142,31,353967688889,353967687706,0,220,0,95,142,4
33,0,1692,188406,1087988,0,0,1,0,0,1,0,0,490,1342,233,40,353967757921,353967755816,0,490,0,288,87,4
34,0,1692,188407,1087989,0,0,1,0,0,1,0,0,231,814,144,29,353967759394,353967758176,0,231,0,94,87,4
35,0,1692,188408,1087990,0,0,1,0,0,1,0,0,222,964,141,31,353967760900,353967759542,0,222,0,93,87,4
36,0,1692,188409,1087991,0,0,1,0,0,1,0,0,222,887,142,30,353967762311,353967761030,0,222,0,94,87,4
37,0,1692,188410,1086208,0,0,1,0,0,1,0,0,251,1096,143,30,353967763933,353967762413,0,251,0,122,87,4
38,0,1692,188411,1086209,0,0,1,0,0,1,0,0,227,860,140,31,353967765359,353967764101,0,227,0,101,87,4
39,0,1692,188412,1086210,0,0,1,0,0,1,0,0,221,831,142,30,353967766724,353967765500,0,221,0,94,87,4
40,0,1692,188413,1086211,0,0,1,0,0,1,0,0,266,820,152,30,353967768262,353967766994,0,266,0,140,87,4
41,0,1692,188414,1086212,0,0,1,0,0,1,0,0,222,832,142,30,353967769928,353967768702,0,222,0,95,87,4
42,0,1692,188415,1086213,0,0,1,0,0,1,0,0,221,854,141,30,353967771628,353967770382,0,221,0,94,87,4
43,0,1692,257024,1086214,0,0,1,0,0,1,0,0,222,1172,150,31,353967773722,353967772147,0,222,0,93,87,4
44,0,1692,257025,1086215,0,0,1,0,0,1,0,0,235,874,155,30,353967775627,353967774333,0,235,0,108,87,4
45,0,1692,257026,1087992,0,0,1,0,0,1,0,0,220,808,142,30,353967777108,353967775908,0,220,0,94,87,4
46,0,1692,257027,1087993,0,0,1,0,0,1,0,0,221,906,142,31,353967778666,353967777366,0,221,0,94,87,4
47,0,1692,257028,1087994,0,0,1,0,0,1,0,0,217,857,141,30,353967780055,353967778810,0,217,0,93,87,4
48,0,1692,257029,1087995,0,0,1,0,0,1,0,0,238,875,150,30,353967781458,353967780165,0,238,0,93,87,4
49,0,1692,257030,1087996,0,0,1,0,0,1,0,0,219,791,148,31,353967782782,353967781593,0,219,0,95,87,4
50,0,1692,257031,1087997,0,0,1,0,0,1,0,0,218,807,141,29,353967784110,353967782915,0,218,0,95,87,4
51,0,1692,257032,1087998,0,0,1,0,0,1,0,0,221,1194,141,31,353967785828,353967784241,0,221,0,94,87,4
52,0,1692,257033,1087999,0,0,1,0,0,1,0,0,220,824,141,29,353967787168,353967785954,0,220,0,95,87,4
53,0,1692,257034,1872648,0,0,1,0,0,1,0,0,220,795,143,30,353967788485,353967787297,0,220,0,94,87,4
54,0,1692,257035,1872649,0,0,1,0,0,1,0,0,289,767,144,29,353967789772,353967788543,0,289,0,142,87,4
55,0,1692,257036,1872650,0,0,1,0,0,1,0,0,217,922,142,29,353967791211,353967789901,0,217,0,92,87,4
56,0,1692,257037,1872651,0,0,1,0,0,1,0,0,220,783,143,30,353967792532,353967791356,0,220,0,94,87,4
57,0,1692,257038,1872652,0,0,1,0,0,1,0,0,220,913,142,30,353967794141,353967792836,0,220,0,93,87,4
58,0,1692,257039,1872653,0,0,1,0,0,1,0,0,218,876,142,30,353967795685,353967794419,0,218,0,94,87,4
59,0,1692,257040,1872654,0,0,1,0,0,1,0,0,219,856,141,30,353967797190,353967795944,0,219,0,92,87,4
60,0,1692,257041,1872655,0,0,1,0,0,1,0,0,218,819,144,30,353967798545,353967797334,0,218,0,92,87,4
61,0,1692,257042,1086192,0,0,1,0,0,1,0,0,246,811,142,31,353967800049,353967798819,0,246,0,121,87,4
62,0,1692,257043,1086193,0,0,1,0,0,1,0,0,225,759,143,29,353967801326,353967800170,0,225,0,100,87,4
63,0,1692,257044,1086194,0,0,1,0,0,1,0,0,217,905,142,29,353967802750,353967801457,0,217,0,93,87,4
64,0,1692,257045,1086195,0,0,1,0,0,1,0,0,218,833,142,30,353967804101,353967802878,0,218,0,92,87,4
65,0,1692,188301,1086196,0,0,1,0,0,1,0,0,1299,2229,301,97,353971791501,353971787575,0,1299,0,602,114,4
66,0,1692,188302,1086197,0,0,1,0,0,1,0,0,245,860,153,30,353971793322,353971792034,0,245,0,111,114,4
67,0,1692,188303,1086198,0,0,1,0,0,1,0,0,229,814,143,30,353971794662,353971793446,0,229,0,92,114,4
68,0,1692,188304,1086199,0,0,1,0,0,1,0,0,221,866,145,30,353971796205,353971794943,0,221,0,95,114,4
69,0,1692,188305,1086200,0,0,1,0,0,1,0,0,218,850,144,30,353971797721,353971796479,0,218,0,92,114,4
70,0,1692,188306,1086201,0,0,1,0,0,1,0,0,221,862,144,30,353971799566,353971798309,0,221,0,93,114,4
71,0,1692,188316,1086202,0,0,1,0,0,1,0,0,225,965,143,29,353971801441,353971800079,0,225,0,93,114,4
72,0,1692,188317,1086203,0,0,1,0,0,1,0,0,221,855,143,30,353971803016,353971801767,0,221,0,93,114,4
73,0,1692,188318,1086204,0,0,1,0,0,1,0,0,217,874,145,30,353971804572,353971803306,0,217,0,94,114,4
74,0,1692,188319,1086205,0,0,1,0,0,1,0,0,242,893,143,30,353971805988,353971804680,0,242,0,118,114,4
75,0,1692,188320,1086206,0,0,1,0,0,1,0,0,217,867,143,31,353971807526,353971806268,0,217,0,92,114,4
76,0,1692,188321,1086207,0,0,1,0,0,1,0,0,259,956,146,30,353971809010,353971807619,0,259,0,132,114,4
77,0,1692,188322,1088000,0,0,1,0,0,1,0,0,221,849,144,29,353971810399,353971809156,0,221,0,94,114,4
78,0,1692,188323,1088001,0,0,1,0,0,1,0,0,219,829,144,30,353971811765,353971810543,0,219,0,93,114,4
79,0,1692,188324,1088002,0,0,1,0,0,1,0,0,221,871,140,30,353971813160,353971811898,0,221,0,94,114,4
80,0,1692,188325,1088003,0,0,1,0,0,1,0,0,219,919,142,30,353971814618,353971813308,0,219,0,92,114,4
81,0,1692,188326,1088004,0,0,1,0,0,1,0,0,218,862,144,29,353971816008,353971814755,0,218,0,93,114,4
82,0,1692,188327,1088005,0,0,1,0,0,1,0,0,215,829,143,30,353971817533,353971816316,0,215,0,93,114,4
83,0,1692,188328,1088006,0,0,1,0,0,1,0,0,222,820,141,30,353971819185,353971817972,0,222,0,94,114,4
84,0,1692,188329,1088007,0,0,1,0,0,1,0,0,218,815,146,30,353971820875,353971819666,0,218,0,93,114,4
85,0,1692,188330,1088008,0,0,1,0,0,1,0,0,219,848,144,32,353971822405,353971821162,0,219,0,92,114,4
86,0,1692,188331,1088009,0,0,1,0,0,1,0,0,268,1467,161,30,353971824595,353971822669,0,268,0,140,114,4
87,0,1692,188332,1088010,0,0,1,0,0,1,0,0,219,839,154,30,353971825981,353971824739,0,219,0,94,114,4
88,0,1692,188333,1088011,0,0,1,0,0,1,0,0,218,804,143,30,353971827304,353971826109,0,218,0,92,114,4
89,0,1692,188334,1088012,0,0,1,0,0,1,0,0,221,812,143,33,353971828637,353971827428,0,221,0,94,114,4
90,0,1692,188335,1088013,0,0,1,0,0,1,0,0,273,965,145,30,353971830126,353971828713,0,273,0,143,114,4
91,0,1692,188336,1088014,0,0,1,0,0,1,0,0,220,838,142,30,353971831487,353971830257,0,220,0,95,114,4
92,0,1692,188337,1088015,0,0,1,0,0,1,0,0,219,794,6720,30,353971839378,353971831615,0,219,0,94,114,4
93,0,1692,188338,1872656,0,0,1,0,0,1,0,0,220,928,231,30,353971841098,353971839689,0,220,0,94,114,4
94,0,1692,188339,1872657,0,0,1,0,0,1,0,0,217,765,143,30,353971842388,353971841233,0,217,0,92,114,4
95,0,1692,188340,1872658,0,0,1,0,0,1,0,0,217,807,143,30,353971843719,353971842522,0,217,0,92,114,4
96,0,1692,188341,1872659,0,0,1,0,0,1,0,0,216,1142,145,32,353971845567,353971844032,0,216,0,93,114,4
97,0,1692,188342,1872660,0,0,1,0,0,1,0,0,427,953,210,30,353971885845,353971884225,0,427,0,264,80,4
98,0,1692,188343,1872661,0,0,1,0,0,1,0,0,222,849,150,29,353971887640,353971886390,0,222,0,92,80,4
99,0,1692,188344,1872662,0,0,1,0,0,1,0,0,220,879,142,30,353971889369,353971888098,0,220,0,93,80,4
100,0,1692,188345,1872663,0,0,1,0,0,1,0,0,221,883,144,30,353971891131,353971889853,0,221,0,94,80,4
101,0,1692,188346,1872664,0,0,1,0,0,1,0,0,257,1086,148,30,353971892923,353971891402,0,257,0,129,80,4
102,0,1692,188347,1872665,0,0,1,0,0,1,0,0,217,917,141,29,353971894566,353971893262,0,217,0,92,80,4
103,0,1692,188348,1872666,0,0,1,0,0,1,0,0,218,874,143,30,353971896292,353971895027,0,218,0,94,80,4
104,0,1692,188349,1872667,0,0,1,0,0,1,0,0,255,818,146,30,353971897820,353971896571,0,255,0,129,80,4
105,0,1692,188350,1872668,0,0,1,0,0,1,0,0,219,930,144,30,353971899438,353971898115,0,219,0,93,80,4
106,0,1692,188351,1872669,0,0,1,0,0,1,0,0,218,814,143,30,353971901168,353971899963,0,218,0,94,80,4
107,0,1692,188352,1872670,0,0,1,0,0,1,0,0,220,856,144,30,353971902696,353971901446,0,220,0,93,80,4
108,0,1692,188353,1872671,0,0,1,0,0,1,0,0,220,820,144,30,353971904041,353971902827,0,220,0,95,80,4
109,0,1692,188354,1872672,0,0,1,0,0,1,0,0,219,828,142,31,353971905391,353971904171,0,219,0,94,80,4
110,0,1692,188355,1872673,0,0,1,0,0,1,0,0,220,868,143,31,353971906785,353971905523,0,220,0,95,80,4
111,0,1692,188356,1872674,0,0,1,0,0,1,0,0,249,862,144,30,353971908185,353971906900,0,249,0,125,80,4
112,0,1692,188357,1872675,0,0,1,0,0,1,0,0,224,835,145,29,353971909565,353971908332,0,224,0,94,80,4
113,0,1692,188358,1872676,0,0,1,0,0,1,0,0,218,864,143,31,353971910952,353971909696,0,218,0,93,80,4
114,0,1692,188359,1872677,0,0,1,0,0,1,0,0,221,821,144,30,353971912319,353971911103,0,221,0,93,80,4
115,0,1692,188360,1872678,0,0,1,0,0,1,0,0,221,834,143,30,353971913679,353971912451,0,221,0,94,80,4
116,0,1692,188363,1872679,0,0,1,0,0,1,0,0,224,1312,147,30,353971915836,353971914123,0,224,0,93,80,4
117,0,1692,188364,1872680,0,0,1,0,0,1,0,0,219,931,143,32,353971917302,353971915977,0,219,0,93,80,4
118,0,1692,188365,1872681,0,0,1,0,0,1,0,0,221,818,141,30,353971918639,353971917429,0,221,0,94,80,4
119,0,1692,188366,1872682,0,0,1,0,0,1,0,0,219,839,142,30,353971919999,353971918769,0,219,0,93,80,4
120,0,1692,188367,1872683,0,0,1,0,0,1,0,0,221,801,142,30,353971921324,353971920130,0,221,0,94,80,4
121,0,1692,188368,1872684,0,0,1,0,0,1,0,0,217,949,143,30,353971922954,353971921615,0,217,0,93,80,4
122,0,1692,188369,1872685,0,0,1,0,0,1,0,0,216,783,142,30,353971924445,353971923274,0,216,0,92,80,4
123,0,1692,188370,1872686,0,0,1,0,0,1,0,0,218,799,142,30,353971925767,353971924578,0,218,0,93,80,4
124,0,1692,188371,1872687,0,0,1,0,0,1,0,0,217,889,143,29,353971927180,353971925902,0,217,0,94,80,4
125,0,1692,188372,1872688,0,0,1,0,0,1,0,0,217,787,144,30,353971928491,353971927313,0,217,0,93,80,4
126,0,1692,188373,1872689,0,0,1,0,0,1,0,0,216,826,143,30,353971929837,353971928622,0,216,0,93,80,4
127,0,1692,188374,1872690,0,0,1,0,0,1,0,0,218,787,144,31,353971931158,353971929978,0,218,0,92,80,4
128,0,1692,188375,1872691,0,0,1,0,0,1,0,0,217,797,143,30,353971932476,353971931289,0,217,0,93,80,4
129,0,1692,188241,1872692,0,0,1,0,0,1,0,0,2362,3771,497,102,353987092147,353987085415,0,2362,0,848,156,4
130,0,1692,188242,1872693,0,0,1,0,0,1,0,0,246,858,165,32,353987094847,353987093546,0,246,0,103,156,4
131,0,1692,188243,1872694,0,0,1,0,0,1,0,0,289,817,159,32,353987096512,353987095215,0,289,0,150,156,4
132,0,1692,188244,1872695,0,0,1,0,0,1,0,0,234,1169,150,32,353987098526,353987096941,0,234,0,99,156,4
133,0,1692,188245,1872696,0,0,1,0,0,1,0,0,236,983,150,31,353987100231,353987098831,0,236,0,100,156,4
134,0,1692,188246,1872697,0,0,1,0,0,1,0,0,232,816,150,32,353987101743,353987100513,0,232,0,98,156,4
135,0,1692,188247,1872698,0,0,1,0,0,1,0,0,232,912,150,32,353987103332,353987102006,0,232,0,98,156,4
136,0,1692,188248,1872699,0,0,1,0,0,1,0,0,234,802,150,32,353987104680,353987103462,0,234,0,100,156,4
137,0,1692,188249,1872700,0,0,1,0,0,1,0,0,232,844,151,31,353987106072,353987104814,0,232,0,99,156,4
138,0,1692,188250,1872701,0,0,1,0,0,1,0,0,232,848,150,32,353987107469,353987106207,0,232,0,100,156,4
139,0,1692,188256,1872702,0,0,1,0,0,1,0,0,282,1276,151,31,353987109293,353987107553,0,282,0,151,156,4
140,0,1692,188257,1872703,0,0,1,0,0,1,0,0,299,839,154,32,353987110679,353987109355,0,299,0,160,156,4
141,0,1692,188258,1872704,0,0,1,0,0,1,0,0,235,878,149,31,353987112105,353987110812,0,235,0,101,156,4
142,0,1692,188259,1872705,0,0,1,0,0,1,0,0,233,1070,151,32,353987113728,353987112242,0,233,0,101,156,4
143,0,1692,188260,1872706,0,0,1,0,0,1,0,0,229,843,154,31,353987115289,353987114032,0,229,0,101,156,4
144,0,1692,188261,1872707,0,0,1,0,0,1,0,0,232,862,150,32,353987116859,353987115583,0,232,0,101,156,4
145,0,1692,188262,1872708,0,0,1,0,0,1,0,0,233,890,151,31,353987118636,353987117331,0,233,0,100,156,4
146,0,1692,188263,1872709,0,0,1,0,0,1,0,0,232,892,151,32,353987120412,353987119105,0,232,0,101,156,4
147,0,1692,188264,1872710,0,0,1,0,0,1,0,0,228,861,152,32,353987122170,353987120897,0,228,0,99,156,4
148,0,1692,188265,1872711,0,0,1,0,0,1,0,0,284,1102,149,32,353987123952,353987122385,0,284,0,153,156,4
149,0,1692,188266,1872712,0,0,1,0,0,1,0,0,232,900,152,35,353987125443,353987124124,0,232,0,100,156,4
150,0,1692,188267,1872713,0,0,1,0,0,1,0,0,231,831,158,32,353987126828,353987125576,0,231,0,100,156,4
151,0,1692,188268,1872714,0,0,1,0,0,1,0,0,233,816,158,31,353987128201,353987126963,0,233,0,101,156,4
152,0,1692,188269,1872715,0,0,1,0,0,1,0,0,233,804,149,32,353987129551,353987128333,0,233,0,100,156,4
153,0,1692,188270,1872716,0,0,1,0,0,1,0,0,233,792,151,33,353987130892,353987129683,0,233,0,101,156,4
154,0,1692,188271,1872717,0,0,1,0,0,1,0,0,276,1229,149,31,353987132669,353987130984,0,276,0,141,156,4
155,0,1692,188272,1872718,0,0,1,0,0,1,0,0,229,771,150,31,353987134010,353987132829,0,229,0,97,156,4
156,0,1692,188273,1872719,0,0,1,0,0,1,0,0,232,833,152,32,353987135394,353987134145,0,232,0,99,156,4
157,0,1692,188274,1872720,0,0,1,0,0,1,0,0,228,792,152,31,353987136753,353987135550,0,228,0,97,156,4
158,0,1692,188275,1872721,0,0,1,0,0,1,0,0,232,896,150,32,353987138194,353987136884,0,232,0,98,156,4
159,0,1692,188276,1872722,0,0,1,0,0,1,0,0,233,802,150,31,353987139554,353987138338,0,233,0,101,156,4
160,0,1692,188277,1872723,0,0,1,0,0,1,0,0,231,769,150,33,353987140870,353987139687,0,231,0,101,156,4
161,0,1692,188278,1872724,0,0,1,0,0,1,0,0,399,919,194,31,353987180284,353987178741,0,399,0,250,74,4
162,0,1692,188279,1872725,0,0,1,0,0,1,0,0,237,885,152,31,353987181964,353987180659,0,237,0,100,74,4
163,0,1692,188280,1872726,0,0,1,0,0,1,0,0,232,893,151,31,353987183773,353987182466,0,232,0,98,74,4
164,0,1692,188281,1872727,0,0,1,0,0,1,0,0,233,816,150,31,353987185468,353987184238,0,233,0,99,74,4
165,0,1692,188282,1872728,0,0,1,0,0,1,0,0,233,828,150,31,353987187199,353987185957,0,233,0,100,74,4
166,0,1692,188283,1872729,0,0,1,0,0,1,0,0,233,817,151,31,353987188883,353987187651,0,233,0,99,74,4
167,0,1692,188284,1872730,0,0,1,0,0,1,0,0,231,815,152,31,353987190539,353987189310,0,231,0,99,74,4
168,0,1692,188285,1872731,0,0,1,0,0,1,0,0,231,833,152,31,353987191945,353987190698,0,231,0,99,74,4
169,0,1692,188286,1872732,0,0,1,0,0,1,0,0,286,987,151,32,353987193484,353987192028,0,286,0,151,74,4
170,0,1692,188287,1872733,0,0,1,0,0,1,0,0,234,925,152,31,353987194973,353987193631,0,234,0,100,74,4
171,0,1692,188288,1872734,0,0,1,0,0,1,0,0,231,856,150,32,353987196381,353987195112,0,231,0,99,74,4
172,0,1692,188289,1872735,0,0,1,0,0,1,0,0,232,838,172,32,353987197830,353987196556,0,232,0,99,74,4
173,0,1692,188290,1872736,0,0,1,0,0,1,0,0,231,833,153,32,353987199216,353987197967,0,231,0,99,74,4
174,0,1692,188291,1872737,0,0,1,0,0,1,0,0,232,950,150,32,353987200715,353987199351,0,232,0,99,74,4
175,0,1692,188292,1872738,0,0,1,0,0,1,0,0,231,825,154,32,353987202109,353987200867,0,231,0,99,74,4
176,0,1692,188293,1872739,0,0,1,0,0,1,0,0,277,906,152,32,353987203571,353987202204,0,277,0,143,74,4
177,0,1692,188294,1872740,0,0,1,0,0,1,0,0,234,833,150,32,353987204955,353987203706,0,234,0,99,74,4
178,0,1692,188295,1872741,0,0,1,0,0,1,0,0,230,934,151,31,353987206442,353987205096,0,230,0,99,74,4
179,0,1692,188296,1872742,0,0,1,0,0,1,0,0,229,807,150,31,353987207797,353987206580,0,229,0,99,74,4
180,0,1692,188297,1872743,0,0,1,0,0,1,0,0,229,1263,148,34,353987209621,353987207947,0,229,0,100,74,4
181,0,1692,188298,1872744,0,0,1,0,0,1,0,0,233,757,149,31,353987210933,353987209763,0,233,0,99,74,4
182,0,1692,188299,1872745,0,0,1,0,0,1,0,0,234,808,151,31,353987212288,353987211064,0,234,0,99,74,4
183,0,1692,188300,1872746,0,0,1,0,0,1,0,0,233,797,152,32,353987213637,353987212423,0,233,0,99,74,4
184,0,1692,188307,1872747,0,0,1,0,0,1,0,0,234,1172,151,32,353987215537,353987213948,0,234,0,99,74,4
185,0,1692,188308,1872748,0,0,1,0,0,1,0,0,265,817,151,31,353987216903,353987215639,0,265,0,130,74,4
186,0,1692,188309,1872749,0,0,1,0,0,1,0,0,232,753,150,32,353987218255,353987217088,0,232,0,100,74,4
