seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1674,24576,1136678,0,0,1,0,0,1,0,0,3663,4490,786,89,101541598998,101541589970,0,3663,0,1438,119,4
2,0,1674,24587,1134867,0,0,1,0,0,1,0,0,299,1099,161,30,101541602129,101541600540,0,299,0,126,119,4
3,0,1674,24595,1148961,0,0,1,0,0,1,0,0,271,805,148,29,101541603801,101541602548,0,271,0,142,119,4
4,0,1674,24596,1138479,0,0,1,0,0,1,0,0,221,904,145,31,101541605584,101541604283,0,221,0,95,119,4
5,0,1674,24635,1138594,0,0,1,0,0,1,0,0,237,840,149,31,101541607083,101541605826,0,237,0,94,119,4
6,0,1674,24640,1138601,0,0,1,0,0,1,0,0,221,871,144,30,101541608505,101541607239,0,221,0,95,119,4
7,0,1674,24673,1160841,0,0,1,0,0,1,0,0,238,878,145,30,101541609916,101541608625,0,238,0,114,119,4
8,0,1674,24674,1160845,0,0,1,0,0,1,0,0,265,1077,147,30,101541611523,101541610004,0,265,0,135,119,4
9,0,1674,24675,1160680,0,0,1,0,0,1,0,0,221,996,146,30,101541613045,101541611652,0,221,0,94,119,4
10,0,1674,24681,1185871,0,0,1,0,0,1,0,0,218,819,145,30,101541614392,101541613180,0,218,0,94,119,4
11,0,1674,24682,1183977,0,0,1,0,0,1,0,0,269,1102,146,33,101541616022,101541614472,0,269,0,143,119,4
12,0,1674,24683,1188687,0,0,1,0,0,1,0,0,219,996,146,30,101541617542,101541616151,0,219,0,95,119,4
13,0,1674,24692,1194702,0,0,1,0,0,1,0,0,219,956,145,30,101541619020,101541617670,0,219,0,95,119,4
14,0,1674,24693,1195343,0,0,1,0,0,1,0,0,220,812,144,32,101541620371,101541619163,0,220,0,93,119,4
15,0,1674,24695,1196106,0,0,1,0,0,1,0,0,220,864,146,30,101541621759,101541620499,0,220,0,94,119,4
