seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,2062,37451,1082750,0,0,1,0,1,1,0,0,3337,1959,683,85,2442250960950,2442250954886,0,3337,106,1157,34,4
2,0,2062,37601,1321896,0,0,1,0,1,1,0,0,381,593,200,34,2442250963254,2442250962046,0,381,43,141,34,4
3,0,2062,70069,1184761,0,0,1,0,1,1,0,0,302,525,183,35,2442250964379,2442250963334,0,302,37,118,34,4
4,0,2062,70140,1250265,0,0,1,0,1,1,0,0,300,455,181,34,2442250965443,2442250964473,0,300,33,119,34,4
5,0,2062,70141,1182124,0,0,1,0,1,1,0,0,284,426,181,34,2442250966473,2442250965548,0,284,36,105,34,4
6,0,2062,70142,1161186,0,0,1,0,1,1,0,0,285,526,185,34,2442250967591,2442250966561,0,285,33,108,34,4
7,0,2062,70143,1182130,0,0,1,0,1,1,0,0,286,433,191,34,2442250968604,2442250967660,0,286,33,107,34,4
8,0,2062,70512,1321874,0,0,1,0,1,1,0,0,287,517,193,33,2442250969697,2442250968667,0,287,35,108,34,4
9,0,2062,70515,1182299,0,0,1,0,1,1,0,0,329,406,199,35,2442250970703,2442250969734,0,329,59,108,34,4
10,0,2062,70522,1185267,0,0,1,0,1,1,0,0,289,875,186,34,2442250972153,2442250970769,0,289,34,108,34,4
11,0,2062,70523,1073404,0,0,1,0,1,1,0,0,282,503,183,35,2442250973231,2442250972228,0,282,34,106,34,4
12,0,2062,71232,1182306,0,0,1,0,1,1,0,0,285,503,187,35,2442250974310,2442250973300,0,285,34,108,34,4
13,0,2062,71233,1173022,0,0,1,0,1,1,0,0,282,485,183,34,2442250975372,2442250974388,0,282,34,106,34,4
14,0,2062,71234,1182199,0,0,1,0,1,1,0,0,282,413,184,34,2442250976358,2442250975445,0,282,33,105,34,4
15,0,2062,71235,1086190,0,0,1,0,1,1,0,0,289,429,183,35,2442250977387,2442250976451,0,289,35,107,34,4
16,0,2062,71236,1182739,0,0,1,0,1,1,0,0,289,423,190,35,2442250978406,2442250977469,0,289,35,108,34,4
17,0,2062,71237,1182233,0,0,1,0,1,1,0,0,286,422,187,34,2442250979444,2442250978515,0,286,35,106,34,4
18,0,2062,71238,1182224,0,0,1,0,1,1,0,0,283,414,187,34,2442250980636,2442250979718,0,283,34,105,34,4
19,0,2062,71239,1182263,0,0,1,0,1,1,0,0,285,395,181,34,2442250981614,2442250980719,0,285,34,106,34,4
20,0,2062,71240,1182428,0,0,1,0,1,1,0,0,282,394,183,34,2442250982610,2442250981717,0,282,33,106,34,4
21,0,2062,71241,1250256,0,0,1,0,1,1,0,0,284,446,189,35,2442250983626,2442250982672,0,284,35,106,34,4
22,0,2062,71242,1182163,0,0,1,0,1,1,0,0,285,464,181,35,2442250984654,2442250983689,0,285,36,107,34,4
23,0,2062,71243,1182685,0,0,1,0,1,1,0,0,284,801,186,38,2442250986025,2442250984716,0,284,33,108,34,4
24,0,2062,71244,1182154,0,0,1,0,1,1,0,0,287,654,184,34,2442250987264,2442250986105,0,287,35,107,34,4
25,0,2062,71245,1182728,0,0,1,0,1,1,0,0,284,441,187,34,2442250988281,2442250987335,0,284,34,107,34,4
26,0,2062,71246,1182740,0,0,1,0,1,1,0,0,284,403,186,34,2442250989263,2442250988356,0,284,36,105,34,4
27,0,2062,71247,1181294,0,0,1,0,1,1,0,0,292,533,186,33,2442250990364,2442250989320,0,292,34,110,34,4
28,0,2062,71248,1250259,0,0,1,0,1,1,0,0,285,526,185,35,2442250991454,2442250990423,0,285,36,107,34,4
29,0,2062,71249,1182296,0,0,1,0,1,1,0,0,285,474,190,34,2442250992505,2442250991522,0,285,36,108,34,4
30,0,2062,71250,1182285,0,0,1,0,1,1,0,0,285,431,186,35,2442250993505,2442250992568,0,285,36,105,34,4
31,0,2062,71251,1182242,0,0,1,0,1,1,0,0,280,427,186,34,2442250994502,2442250993575,0,280,35,104,34,4
32,0,2062,71252,1250254,0,0,1,0,1,1,0,0,284,424,184,34,2442250995494,2442250994568,0,284,35,107,34,4
33,0,2062,71253,1182192,0,0,1,0,1,1,0,0,397,647,222,35,2442251056561,2442251055260,0,397,36,183,7,4
34,0,2062,71254,1182300,0,0,1,0,1,1,0,0,323,454,187,34,2442251057608,2442251056610,0,323,39,139,7,4
35,0,2062,71255,1182197,0,0,1,0,1,1,0,0,287,395,183,35,2442251058567,2442251057667,0,287,34,105,7,4
36,0,2062,71256,1182249,0,0,1,0,1,1,0,0,286,406,185,34,2442251059544,2442251058633,0,286,33,109,7,4
37,0,2062,71257,1184750,0,0,1,0,1,1,0,0,320,426,183,34,2442251060541,2442251059578,0,320,33,142,7,4
38,0,2062,71258,1182176,0,0,1,0,1,1,0,0,287,441,188,35,2442251061558,2442251060607,0,287,34,110,7,4
39,0,2062,71259,1184747,0,0,1,0,1,1,0,0,286,424,185,34,2442251062546,2442251061617,0,286,34,106,7,4
40,0,2062,71260,1172949,0,0,1,0,1,1,0,0,285,604,184,35,2442251063768,2442251062660,0,285,34,107,7,4
41,0,2062,71261,1172967,0,0,1,0,1,1,0,0,286,410,185,34,2442251064765,2442251063850,0,286,36,106,7,4
42,0,2062,71262,1250270,0,0,1,0,1,1,0,0,285,420,184,34,2442251065790,2442251064867,0,285,33,106,7,4
43,0,2062,71263,1182273,0,0,1,0,1,1,0,0,293,439,224,35,2442251066907,2442251065916,0,293,36,106,7,4
