seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1514,123392,1207808,9,0,1,1,1,1,0,48,43486,274494,2770,87,332129,11244,0,43426,164,0,0,4
2,0,1514,123904,1191424,9,0,1,1,1,1,0,39,1638,287113,1383,37,295523,5313,0,1579,356,0,0,4
3,0,1514,124416,1191936,9,0,1,1,1,1,0,30,1422,277511,1319,53,286106,5771,0,1362,532,0,0,4
4,0,1514,124928,1193984,9,0,1,1,1,1,0,28,1883,274063,1282,36,282625,5333,0,1825,670,0,0,4
5,0,1514,125440,1195520,9,0,1,1,1,1,0,26,1545,283472,1215,36,291552,5258,0,1486,384,0,0,4
6,0,1514,125952,1200640,9,0,1,1,1,1,0,30,1486,272581,1133,54,280611,5327,0,1427,250,0,0,4
7,0,1514,126464,1220608,9,0,1,1,1,1,0,28,1939,275729,1281,58,284071,5036,0,1880,230,0,0,4
8,0,1514,126976,1221120,9,0,1,1,1,1,0,28,1568,276450,1064,36,283858,4712,0,1509,91,0,0,4
9,0,1514,127488,1219584,9,0,1,1,1,1,0,27,1570,276205,1155,56,284166,5153,0,1511,219,0,0,4
10,0,1514,128000,1220096,9,0,1,1,1,1,0,27,1415,283200,1366,57,291136,5071,0,1356,317,0,0,4
11,0,1514,128512,1218560,9,0,1,1,1,1,0,27,1475,276802,1130,52,284661,5175,0,1417,481,0,0,4
12,0,1514,129024,1219072,9,0,1,1,1,1,0,28,1666,276248,1036,57,284256,5221,0,1607,360,0,0,4
13,0,1514,129536,1217536,9,0,1,1,1,1,0,27,1412,300182,1432,36,308498,5409,0,1353,303,0,0,4
14,0,1514,130048,1218048,9,0,1,1,1,1,0,27,1570,280204,1003,53,287802,4945,0,1511,242,0,0,4
15,0,1514,130560,1216512,9,0,1,1,1,1,0,28,1607,280512,1092,53,288155,4863,0,1549,262,0,0,4
16,0,1514,131072,1217024,9,0,1,1,1,1,0,30,1245,288861,1143,61,296561,5221,0,1187,166,0,0,4
17,0,1514,131584,1215488,9,0,1,1,1,1,0,28,1524,279168,1070,53,286949,5106,0,1465,245,0,0,4
18,0,1514,132096,1216000,9,0,1,1,1,1,0,27,1510,279861,1102,55,287628,5073,0,1451,157,0,0,4
19,0,1514,132608,1214464,9,0,1,1,1,1,0,28,1072,293961,1134,43,302283,6045,0,1013,246,0,0,4
20,0,1514,133120,1214976,9,0,1,1,1,1,0,27,1425,276577,909,56,283675,4681,0,1365,256,0,0,4
21,0,1514,133632,1213440,9,0,1,1,1,1,0,30,1674,277458,1117,51,285087,4757,0,1614,239,0,0,4
22,0,1514,134144,1213952,9,0,1,1,1,1,0,28,1515,277272,1014,52,284967,5086,0,1456,256,0,0,4
23,0,1514,134656,1212416,9,0,1,1,1,1,0,27,1483,275001,1033,58,282911,5309,0,1424,261,0,0,4
24,0,1514,135168,1212928,9,0,1,1,1,1,0,27,1242,283090,1179,60,291035,5437,0,1183,236,0,0,4
25,0,1514,135680,1211392,9,0,1,1,1,1,0,27,1437,276720,1030,53,283956,4689,0,1376,345,0,0,4
26,0,1514,136192,1211904,9,0,1,1,1,1,0,28,1940,276771,1472,38,285548,5299,0,1877,245,0,0,4
27,0,1514,136704,1210368,9,0,1,1,1,1,0,31,1357,285927,1141,39,293531,5036,0,1294,469,0,0,4
28,0,1514,137216,1210880,9,0,1,1,1,1,0,30,1462,277931,1089,38,285990,5440,0,1400,157,0,0,4
29,0,1514,137728,1209344,9,0,1,1,1,1,0,27,1703,276879,1138,56,284747,4944,0,1643,164,0,0,4
30,0,1514,138240,1209856,9,0,1,1,1,1,0,31,1466,288897,1140,54,296531,4943,0,1407,161,0,0,4
31,0,1514,138752,1208320,9,0,1,1,1,1,0,30,1489,274646,1226,58,282033,4584,0,1430,255,0,0,4
32,0,1514,139264,1208832,9,0,1,1,1,1,0,28,2250,274520,1311,41,283315,5165,0,2188,430,0,0,4
33,0,1514,139776,1221632,9,0,1,1,1,1,0,29,2269,277186,1455,54,286197,5204,0,2208,292,0,0,4
34,0,1514,140288,1222144,9,0,1,1,1,1,0,27,2309,276197,1620,53,285395,5189,0,2251,362,0,0,4
35,0,1514,140800,1222656,9,0,1,1,1,1,0,27,2262,277722,1568,52,286621,4990,0,2203,393,0,0,4
36,0,1514,141312,1223168,9,0,1,1,1,1,0,28,2269,270763,1688,59,280255,5448,0,2210,294,0,0,4
37,0,1514,141824,1223680,9,0,1,1,1,1,0,27,2098,274102,1451,36,282856,5142,0,2039,322,0,0,4
38,0,1514,142336,1224192,9,0,1,1,1,1,0,27,2208,275058,1662,52,283841,4834,0,2150,273,0,0,4
39,0,1514,142848,1224704,9,0,1,1,1,1,0,47,1999,283108,1645,53,292175,5323,0,1940,406,0,0,4
40,0,1514,143360,1225216,9,0,1,1,1,1,0,27,3045,283298,1662,60,293510,5418,0,2987,515,0,0,4
41,0,1514,143872,1225728,9,0,1,1,1,1,0,27,1975,285762,1627,36,294566,5139,0,1916,282,0,0,4
42,0,1514,144384,1226240,9,0,1,1,1,1,0,28,2203,284864,2054,36,294349,5164,0,2145,262,0,0,4
43,0,1514,144896,1226752,9,0,1,1,1,1,0,28,2082,287483,1653,37,296106,4823,0,2023,428,0,0,4
44,0,1514,145408,1227264,9,0,1,1,1,1,0,27,2026,290744,1728,60,299475,4890,0,1967,384,0,0,4
