seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1514,24576,1197119,0,0,1,0,1,1,0,0,2853,1598,797,84,38568202220,38568196888,0,2853,110,1670,2,4
2,0,1514,24587,1197120,0,0,1,0,1,1,0,0,891,532,189,34,38568204099,38568202453,0,891,34,568,2,4
3,0,1514,24595,1197121,0,0,1,0,1,1,0,0,802,532,184,33,38568205314,38568203763,0,802,34,532,2,4
4,0,1514,24596,1197122,0,0,1,0,1,1,0,0,766,444,180,34,38568206385,38568204961,0,766,33,495,2,4
5,0,1514,24635,1197123,0,0,1,0,1,1,0,0,767,471,180,34,38568207442,38568205990,0,767,33,493,2,4
6,0,1514,24636,1197124,0,0,1,0,1,1,0,0,788,487,181,34,38568208500,38568207010,0,788,33,516,2,4
7,0,1514,24637,1197125,0,0,1,0,1,1,0,0,784,514,186,34,38568209599,38568208081,0,784,33,517,2,4
8,0,1514,24638,1197126,0,0,1,0,1,1,0,0,784,439,184,34,38568210628,38568209187,0,784,33,517,2,4
9,0,1514,24639,1197127,0,0,1,0,1,1,0,0,785,441,183,34,38568211656,38568210213,0,785,33,517,2,4
10,0,1514,24640,1197128,0,0,1,0,1,1,0,0,808,518,181,35,38568212776,38568211234,0,808,33,517,2,4
11,0,1514,24673,1197129,0,0,1,0,1,1,0,0,801,500,181,34,38568213853,38568212337,0,801,34,533,2,4
12,0,1514,24674,1197130,0,0,1,0,1,1,0,0,780,505,182,34,38568214943,38568213442,0,780,34,511,2,4
13,0,1514,24675,1197131,0,0,1,0,1,1,0,0,766,499,181,34,38568216021,38568214541,0,766,33,499,2,4
14,0,1514,24676,1197132,0,0,1,0,1,1,0,0,768,523,182,34,38568217120,38568215613,0,768,33,499,2,4
15,0,1514,24677,1197133,0,0,1,0,1,1,0,0,764,879,185,34,38568218581,38568216719,0,764,34,496,2,4
16,0,1514,24678,1197134,0,0,1,0,1,1,0,0,768,510,184,35,38568219681,38568218184,0,768,34,500,2,4
17,0,1514,24679,1197135,0,0,1,0,1,1,0,0,765,497,183,35,38568220778,38568219298,0,765,34,500,2,4
18,0,1514,24681,1197136,0,0,1,0,1,1,0,0,765,540,184,34,38568221938,38568220415,0,765,34,500,2,4
19,0,1514,24682,1197137,0,0,1,0,1,1,0,0,766,486,185,37,38568223033,38568221559,0,766,33,499,2,4
20,0,1514,24683,1197138,0,0,1,0,1,1,0,0,765,583,180,34,38568224220,38568222658,0,765,33,499,2,4
21,0,1514,24684,1197139,0,0,1,0,1,1,0,0,771,518,183,34,38568225514,38568224008,0,771,33,500,2,4
22,0,1514,24685,1197140,0,0,1,0,1,1,0,0,766,526,183,34,38568226636,38568225127,0,766,34,499,2,4
23,0,1514,24686,1197141,0,0,1,0,1,1,0,0,768,681,184,36,38568227898,38568226229,0,768,34,501,2,4
24,0,1514,24687,1197142,0,0,1,0,1,1,0,0,766,537,188,34,38568229016,38568227491,0,766,34,499,2,4
25,0,1514,24688,1197143,0,0,1,0,1,1,0,0,766,556,187,35,38568230176,38568228632,0,766,34,500,2,4
26,0,1514,24689,1197144,0,0,1,0,1,1,0,0,766,576,184,34,38568231344,38568229784,0,766,34,500,2,4
