seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1514,98778,1190392,0,0,1,0,0,1,0,0,21731,6107,1804,216,39673476707,39673446849,0,21731,0,7874,5,4
2,0,1514,98785,1190393,0,0,1,0,0,1,0,0,4678,883,902,31,39673481526,39673475032,0,4678,0,1713,5,4
3,0,1514,98787,1190394,0,0,1,0,0,1,0,0,4377,820,856,32,39673483960,39673477875,0,4377,0,1679,5,4
4,0,1514,98788,1190395,0,0,1,0,0,1,0,0,5294,876,833,32,39673486455,39673479420,0,5294,0,1652,5,4
5,0,1514,98818,1190396,0,0,1,0,0,1,0,0,4980,952,823,32,39673489015,39673482228,0,4980,0,1654,5,4
6,0,1514,99479,1190397,0,0,1,0,0,1,0,0,5292,968,826,31,39673491234,39673484117,0,5292,0,1788,5,4
7,0,1514,99480,1190398,0,0,1,0,0,1,0,0,4301,1104,834,32,39673493710,39673487439,0,4301,0,1657,5,4
8,0,1514,99485,1190399,0,0,1,0,0,1,0,0,5288,1056,845,32,39673496151,39673488930,0,5288,0,1663,5,4
9,0,1514,99598,1189376,0,0,1,0,0,1,0,0,4150,997,825,32,39673498512,39673492508,0,4150,0,1665,5,4
10,0,1514,99773,1189377,0,0,1,0,0,1,0,0,4335,1030,815,31,39673500896,39673494685,0,4335,0,1651,5,4
11,0,1514,99775,1189378,0,0,1,0,0,1,0,0,5084,961,824,31,39673503230,39673496330,0,5084,0,1656,5,4
12,0,1514,99788,1189379,0,0,1,0,0,1,0,0,4883,1032,827,31,39673505510,39673498737,0,4883,0,1649,5,4
13,0,1514,101206,1189380,0,0,1,0,0,1,0,0,4017,1097,831,32,39673507986,39673502009,0,4017,0,1652,5,4
14,0,1514,101908,1189381,0,0,1,0,0,1,0,0,4446,1342,927,33,39673510839,39673504091,0,4446,0,1683,5,4
15,0,1514,101914,1189382,0,0,1,0,0,1,0,0,3937,922,821,32,39673513301,39673507589,0,3937,0,1789,5,4
16,0,1514,102193,1189383,0,0,1,0,0,1,0,0,4216,930,833,32,39673515658,39673509647,0,4216,0,1671,5,4
17,0,1514,102200,1189384,0,0,1,0,0,1,0,0,4191,1093,821,32,39673518151,39673512014,0,4191,0,1798,5,4
18,0,1514,102209,1189385,0,0,1,0,0,1,0,0,3707,1079,810,31,39673520588,39673514961,0,3707,0,1648,5,4
19,0,1514,102210,1189386,0,0,1,0,0,1,0,0,3720,1065,817,31,39673523041,39673517408,0,3720,0,1660,5,4
20,0,1514,103684,1189387,0,0,1,0,0,1,0,0,4265,1051,943,31,39673525599,39673519309,0,4265,0,1657,5,4
21,0,1514,105078,1189388,0,0,1,0,0,1,0,0,3880,847,812,32,39673527672,39673522101,0,3880,0,1944,5,4
22,0,1514,122079,1189389,0,0,1,0,0,1,0,0,4892,1277,817,32,39673530175,39673523157,0,4892,0,1647,5,4
23,0,1514,122081,1189390,0,0,1,0,0,1,0,0,4428,875,846,32,39673532305,39673526124,0,4428,0,1786,5,4
24,0,1514,122083,1189391,0,0,1,0,0,1,0,0,3872,1013,818,31,39673534548,39673528814,0,3872,0,1659,5,4
25,0,1514,740376,1189392,0,0,1,0,0,1,0,0,5614,1150,867,32,39673536971,39673529308,0,5614,0,1782,5,4
26,0,1514,740417,1189393,0,0,1,0,0,1,0,0,4373,944,835,32,39673539454,39673533270,0,4373,0,1789,5,4
27,0,1514,740421,1189394,0,0,1,0,0,1,0,0,4452,847,827,32,39673541541,39673535383,0,4452,0,1789,5,4
28,0,1514,740475,1189395,0,0,1,0,0,1,0,0,4270,954,983,32,39673543890,39673537651,0,4270,0,1783,5,4
29,0,1514,740555,1189396,0,0,1,0,0,1,0,0,4162,904,840,32,39673546073,39673540135,0,4162,0,1654,5,4
30,0,1514,740589,1189397,0,0,1,0,0,1,0,0,4378,877,819,32,39673548178,39673542072,0,4378,0,1792,5,4
31,0,1514,740591,1189398,0,0,1,0,0,1,0,0,5047,913,931,31,39673550435,39673543513,0,5047,0,1650,5,4
